,race,subrace,section,content
0,warforged,warforged,Ability Score Increase,"Your Constitution score increases by 2, and one other ability score of your choice increases by 1."
1,warforged,warforged,Age,"A typical warforged is between two and thirty years old. The maximum warforged lifespan remains a mystery; so far, warforged have shown no signs of deterioration due to age. You are immune to magical aging effects."
2,warforged,warforged,Alignment,"Most warforged take comfort in order and discipline, tending toward law and neutrality. But some have absorbed the morality, or lack thereof, of the beings with which they served."
3,warforged,warforged,Size,"Your size is Medium. To set your height and weight randomly, start with rolling a size modifier: Size modifier = 2d6 Height = 5 feet + 10 inches + your size modifier in inches Weight in pounds = 270 + (4 x your size modifier)"
4,warforged,warforged,Speed,Your base walking speed is 30 feet.
5,warforged,warforged,Constructed Resilience,"You were created to have remarkable fortitude, represented by the following benefits:"
6,warforged,warforged,,"While you live, your armor can't be removed from your body against your will.
"
7,warforged,warforged,Sentry's Rest,"When you take a long rest, you must spend at least six hours in an inactive, motionless state, rather than sleeping. In this state, you appear inert, but it doesn't render you unconscious, and you can see and hear as normal."
8,warforged,warforged,Integrated Protection,"Your body has built-in defensive layers, which can be enhanced with armor:"
9,warforged,warforged,Specialized Design,You gain one skill proficiency and one tool proficiency of your choice.
10,warforged,warforged,Languages,"You can speak, read, and write Common and one other language of your choice."
