,race,subrace,section,content
0,wechselkind,wechselkind,Ability Score Increase,Your Constitution score increases by 2 and your Charisma score increases by 1.
1,wechselkind,wechselkind,Age,"As constructs, the wechselkind do not age as normal creatures do. They are forever trapped in the doll-like body of a stolen child. As such, their maximum age is more a function of natural erosion and damage than of time, occasionally needing to replace or fix body parts when needed. You are immune to magical aging effects."
2,wechselkind,wechselkind,Alignment,"Faerie are as close to the embodiment of chaos as most mortals are likely to see, and their creations usually follow that trend. Although some tend towards mischief, more wechselkind lean towards good than evil."
3,wechselkind,wechselkind,Size,"Built to resemble a child, wechselkind are between 2 and 3 feet tall and weigh between 35 and 55 pounds. Your size is Small."
4,wechselkind,wechselkind,Speed,Your base walking speed is 25 feet.
5,wechselkind,wechselkind,Artificial Form,"As a constructed creature, your body functions differently than a normal person."
6,wechselkind,wechselkind,,"You have advantage on saving throws against being poisoned, and you have resistance to poison damage.
You are immune to disease. You don’t need to eat, drink, sleep, or breathe. You are still considered humanoid.
"
7,wechselkind,wechselkind,Faerie Glamour,"When the faerie leaves a wechselkind in place of a mortal child, they cover it with a glamour to make it appear identical to the child that was stolen. Over time this glamour fades, but a wechselkind can still call upon it in times of need."
8,wechselkind,wechselkind,Childish Agility,You can move through the space of any creature that is of a size larger than yours. You gain proficiency in the Acrobatics skill.
9,wechselkind,wechselkind,Languages,"You can speak, read, and write Sylvan and one other language of your choice."
