,race,subrace,section,content
0,yuan-ti pureblood,Yuan-ti Pureblood Traits,Ability Score Increase,"Your Intelligence score increases by 1, and your Charisma score increases by 2."
1,yuan-ti pureblood,Yuan-ti Pureblood Traits,Age,Purebloods mature at the same rate as humans and have lifespans similar in length to theirs.
2,yuan-ti pureblood,Yuan-ti Pureblood Traits,Alignment,Purebloods are devoid of emotion and see others as tools to manipulate. They care little for law or chaos and are typically neutral evil.
3,yuan-ti pureblood,Yuan-ti Pureblood Traits,Size,"Purebloods match humans in average size and weight. Your size is Medium. Your height is 4'8"" with a modifier of +2d10. Your weight is 110 lbs. with a modifier of +(height roll) x 2d4."
4,yuan-ti pureblood,Yuan-ti Pureblood Traits,Speed,Your base walking speed is 30 feet.
5,yuan-ti pureblood,Yuan-ti Pureblood Traits,Darkvision,"You can see in dim light within 60 feet of you as if it were bright light, and in darkness as if it were dim light. You can't discern color in darkness, only shades of gray."
6,yuan-ti pureblood,Yuan-ti Pureblood Traits,Innate Spellcasting,"You know the Poison Spray cantrip. You can cast Animal Friendship an unlimited number of times with this trait, but you can target only snakes with it. Starting at 3rd level, you can also cast Suggestion with this trait. Once you cast it, you can't do so again until you finish a long rest. Charisma is your spellcasting ability for these spells."
7,yuan-ti pureblood,Yuan-ti Pureblood Traits,Magic Resistance,You have advantage on saving throws against spells and other magical effects.
8,yuan-ti pureblood,Yuan-ti Pureblood Traits,Poison Immunity,You are immune to poison damage and the poisoned condition.
9,yuan-ti pureblood,Yuan-ti Pureblood Traits,Languages,"You can speak, read, and write Common, Abyssal, and Draconic."
10,yuan-ti pureblood,Yuan-Ti MPMM,Ability Score Increase,"One ability score of your choice increases by 2, and one other ability score of your choice increases by 1, or three ability scores of your choice increase by 1."
11,yuan-ti pureblood,Yuan-Ti MPMM,Age,Purebloods mature at the same rate as humans and have lifespans similar in length to theirs.
12,yuan-ti pureblood,Yuan-Ti MPMM,Alignment,Purebloods are devoid of emotion and see others as tools to manipulate. They care little for law or chaos and are typically neutral evil.
13,yuan-ti pureblood,Yuan-Ti MPMM,Size,You are Medium or Small. You choose the size when you select this race.
14,yuan-ti pureblood,Yuan-Ti MPMM,Speed,30 ft.
15,yuan-ti pureblood,Yuan-Ti MPMM,Darkvision,You can see in dim light within 60 feet of you as if it were bright light and in darkness as if it were dim light. You discern colors in that darkness only as shades of gray.
16,yuan-ti pureblood,Yuan-Ti MPMM,Innate Spellcasting,"You know the Poison Spray cantrip. You can cast Animal Friendship an unlimited number of times with this trait, but you can target only snakes with it. Starting at 3rd level, you can also cast Suggestion with this trait. Once you cast it, you can't do so again until you finish a long rest. Charisma is your spellcasting ability for these spells."
17,yuan-ti pureblood,Yuan-Ti MPMM,Magic Resistance,You have advantage on saving throws against spells.
18,yuan-ti pureblood,Yuan-Ti MPMM,Poison Immunity,You are immune to poison damage and the poisoned condition.
19,yuan-ti pureblood,Yuan-Ti MPMM,Languages,"You can speak, read, and write Common and one other language that you and your DM agree is appropriate for your character."
20,yuan-ti pureblood,Yuan-Ti MPMM,Poison Resilience,You have advantage on saving throws you make to avoid or end the poisoned condition on yourself. You also have resistance to poison damage.
21,yuan-ti pureblood,Yuan-Ti MPMM,Serpentine Spellcasting,"You know the Poison Spray cantrip. You can cast Animal Friendship an unlimited number of times with this trait, but you can target only snakes with it. Starting at 3rd level, you can also cast Suggestion with this trait. Once you cast it, you can't do so again until you finish a long rest. You can also cast it using any spell slots you have of 2nd level or higher."
