,subclass,ability,content,subclass_FR,contability_FR,content_FR,levels
0,alchemist,Tool Proficiency,"When you adopt this specialization at 3rd level, you gain proficiency with alchemist's supplies. If you already have this proficiency, you gain proficiency with one other type of artisan's tools of your choice.",alchimiste,Maîtrise des outils,"Lorsque vous adoptez cette spécialisation au niveau 3, vous obtenez la maîtrise des fournitures d'alchimiste. Si vous possédez déjà cette compétence, vous obtenez la maîtrise d'un autre type d'outils d'artisan de votre choix.",3
1,alchemist,Alchemist Spells,"Starting at 3rd level, you always have certain spells prepared after you reach particular levels in this class, as shown in the Alchemist Spells table. These spells count as artificer spells for you, but they don't count against the number of artificer spells you prepare.

Artificer
Level Spell


3rd
Healing Word, Ray of Sickness


5th
Flaming Sphere, Melf's Acid Arrow


9th
Gaseous Form, Mass Healing Word


13th
Blight, Death Ward


17th
Cloudkill, Raise Dead

",alchimiste,Sorts d'alchimiste,"À partir du niveau 3, vous avez toujours certains sorts préparés après avoir atteint des niveaux particuliers dans cette classe, comme indiqué dans le tableau des sorts d'alchimiste. Ces sorts comptent comme des sorts d'artificier pour vous, mais ils ne comptent pas dans le nombre de sorts d'artificier que vous préparez.

Artificier
Sort de niveau

3e
Mot de guérison, Rayon de maladie

5e
Sphère enflammée, Flèche acide de Melf

9e
Forme gazeuse, Mot de guérison de masse

13e
Fléau, Protection contre la mort

17e
Tue-nuage, Résurrection des morts",3
2,alchemist,Experimental Elixir,"Beginning at 3rd level, whenever you finish a long rest, you can magically produce an experimental elixir in an empty flask you touch. Roll on the Experimental Elixir table for the elixir's effect, which is triggered when someone drinks the elixir. As an action, a creature can drink the elixir or administer it to an incapacitated creature.Creating an experimental elixir requires you to have alchemist supplies on your person, and any elixir you create with this feature lasts until it is drunk or until the end of your next long rest.When you reach certain levels in this class, you can make more elixirs at the end of a long rest: two at 6th level and three at 15th level. Roll for each elixir's effect separately. Each elixir requires its own flask.You can create additional experimental elixirs by expending a spell slot of 1st level or higher for each one. When you do so, you use your action to create the elixir in an empty flask you touch, and you choose the elixir's effect from the Experimental Elixir table.

d6
Effect


1
Healing. The drinker regains a number of hit points equal to 2d4 + your Intelligence modifier.


2
Swiftness. The drinker's walking speed increases by 10 feet for 1 hour.


3
Resilience. The drinker gains a +1 bonus to AC for 10 minutes.


4
Boldness. The drinker can roll a d4 and add the number rolled to every attack roll and saving throw they make for the next minute.


5
Flight. The drinker gains a flying speed of 10 feet for 10 minutes.


6
Transformation. The drinker's body is transformed as if by the alter self spell. The drinker determines the transformation caused by the spell, the effects of which last for 10 minutes.

",alchimiste,Élixir expérimental,"À partir du niveau 3, chaque fois que vous terminez un repos long, vous pouvez produire par magie un élixir expérimental dans une fiole vide que vous touchez. Lancez le dé sur la table des élixirs expérimentaux pour connaître l'effet de l'élixir, qui se déclenche lorsque quelqu'un boit l'élixir. Par une action, une créature peut boire l'élixir ou l'administrer à une créature incapable de l'utiliser. Pour créer un élixir expérimental, vous devez avoir des fournitures d'alchimiste sur vous, et tout élixir que vous créez avec cette capacité dure jusqu'à ce qu'il soit bu ou jusqu'à la fin de votre prochain repos long. Lorsque vous atteignez certains niveaux dans cette classe, vous pouvez fabriquer davantage d'élixirs à la fin d'un repos long : deux au niveau 6 et trois au niveau 15. Lancez le dé pour l'effet de chaque élixir séparément. Chaque élixir nécessite sa propre fiole. Vous pouvez créer des élixirs expérimentaux supplémentaires en dépensant un emplacement de sort de niveau 1 ou supérieur pour chacun d'eux. Lorsque vous faites cela, vous utilisez votre action pour créer l'élixir dans une fiole vide que vous touchez, et vous choisissez l'effet de l'élixir dans le tableau des élixirs expérimentaux.

d6
Effet

1
Soin. Le buveur récupère un nombre de points de vie égal à 2d4 + votre modificateur d'Intelligence.

2
Rapidité. La vitesse de marche du buveur augmente de 3 mètres pendant 1 heure.

3
Résilience. Le buveur gagne un bonus de +1 à la CA pendant 10 minutes.

4
Audace. Le buveur peut lancer un d4 et ajouter le nombre obtenu à chaque jet d'attaque et de sauvegarde qu'il effectue pendant la minute suivante.

5
Vol. Le buveur gagne une vitesse de vol de 3 mètres pendant 10 minutes.

6
Transformation. Le corps du buveur est transformé comme par le sort de changement de soi. Le buveur détermine la transformation provoquée par le sort, dont les effets durent 10 minutes.",3
3,alchemist,Alchemical Savant,"At 5th level, you develop masterful command of magical chemicals, enhancing the healing and damage you create through them. Whenever you cast a spell using your alchemist's supplies as the spellcasting focus, you gain a bonus to one roll of the spell. That roll must restore hit points or be a damage roll that deals acid, fire, necrotic, or poison damage, and the bonus equals your Intelligence modifier (minimum of +1).",alchimiste,Savant alchimique,"Au niveau 5, vous maîtrisez parfaitement les produits chimiques magiques, ce qui améliore les soins et les dégâts que vous infligez grâce à eux. Chaque fois que vous lancez un sort en utilisant les fournitures de votre alchimiste comme objectif d'incantation, vous obtenez un bonus à un jet de sort. Ce jet doit restaurer des points de vie ou être un jet de dégâts qui inflige des dégâts d'acide, de feu, nécrotiques ou de poison, et le bonus est égal à votre modificateur d'Intelligence (minimum de +1).",5
4,alchemist,Restorative Reagents,"Starting at 9th level, you can incorporate restorative reagents into some of your works:
Whenever a creature drinks an experimental elixir you created, the creature gains temporary hit points equal to 2d6 + your Intelligence modifier (minimum of 1 temporary hit point).
You can cast Lesser Restoration without expending a spell slot and without preparing the spell, provided you use alchemist's supplies as the spellcasting focus.
You can do so a number of times equal to your Intelligence modifier (minimum of once), and you regain all expended uses when you finish a long rest.",alchimiste,Réactifs de restauration,"À partir du niveau 9, vous pouvez incorporer des réactifs réparateurs dans certaines de vos œuvres :
À chaque fois qu'une créature boit un élixir expérimental que vous avez créé, elle gagne des points de vie temporaires égaux à 2d6 + votre modificateur d'intelligence (minimum de 1 point de vie temporaire).
Vous pouvez lancer Restauration mineure sans dépenser d'emplacement de sort et sans préparer le sort, à condition d'utiliser les fournitures d'alchimiste comme focalisateur de lancement de sort.
Vous pouvez le faire un nombre de fois égal à votre modificateur d'intelligence (minimum d'une fois), et vous récupérez toutes les utilisations dépensées lorsque vous terminez un repos long.",9
5,alchemist,Chemical Mastery,"By 15th level, you have been exposed to so many chemicals that they pose little risk to you, and you can use them to quickly end certain ailments:
You gain resistance to acid damage and poison damage, and you are immune to the poisoned condition.
You can cast Greater Restoration and Heal without expending a spell slot, without preparing the spell, and without material components, provided you use alchemist's supplies as the spellcasting focus.
Once you cast either spell with this feature, you can't cast that spell with it again until you finish a long rest.Source: Eberron: Rising from the Last War",alchimiste,Maîtrise de la chimie,"Au niveau 15, vous avez été exposé à tellement de produits chimiques qu'ils ne présentent que peu de risques pour vous, et vous pouvez les utiliser pour mettre fin rapidement à certains maux :
Vous gagnez une résistance aux dégâts d'acide et de poison, et vous êtes immunisé contre l'état empoisonné.
Vous pouvez lancer Restauration supérieure et Soins sans dépenser d'emplacement de sort, sans préparer le sort et sans composants matériels, à condition d'utiliser les fournitures d'alchimiste comme focalisation du sort.
Une fois que vous avez lancé l'un ou l'autre des sorts avec cette fonctionnalité, vous ne pouvez plus lancer ce sort avec lui jusqu'à ce que vous ayez terminé un repos long.Source : Eberron : Rising from the Last War",15
6,armorer,Tools of the Trade,"3rd-level Armorer feature
You gain proficiency with heavy armor. You also gain proficiency with smith's tools. If you already have this tool proficiency, you gain proficiency with one other type of artisan's tools of your choice.",armurier,Outils du métier,"Fonctionnalité d'Armurier de niveau 3
Vous obtenez la maîtrise des armures lourdes. Vous obtenez également la maîtrise des outils de forgeron. Si vous possédez déjà cette maîtrise des outils, vous obtenez la maîtrise d'un autre type d'outils d'artisan de votre choix.",3
7,armorer,Armorer Spells,"3rd-level Armorer feature
You always have certain spells prepared after you reach particular levels in this class, as shown in the Armorer Spells table. These spells count as artificer spells for you, but they don't count against the number of artificer spells you prepare.

Artificer Level
Spell


3rd
Magic Missile, Thunderwave


5th
Mirror Image, Shatter


9th
Hypnotic Pattern, Lightning Bolt


13th
Fire Shield, Greater Invisibility


17th
Passwall, Wall of Force

",armurier,Sorts d'armurier,"Fonctionnalité d'Armurier de niveau 3
Vous avez toujours certains sorts préparés après avoir atteint certains niveaux dans cette classe, comme indiqué dans le tableau des sorts d'Armurier. Ces sorts comptent comme des sorts d'artificier pour vous, mais ils ne comptent pas dans le nombre de sorts d'artificier que vous préparez.

Niveau d'Artificier
Sort

3e
Projectile magique, Onde de tonnerre

5e
Image miroir, Briser

9e
Motif hypnotique, Éclair

13e
Bouclier de feu, Invisibilité supérieure

17e
Mur de passe, Mur de force",3
8,armorer,Arcane Armor,"3rd-level Armorer feature
Your metallurgical pursuits have led to you making armor a conduit for your magic. As an action, you can turn a suit of armor you are wearing into Arcane Armor, provided you have smith's tools in hand.You gain the following benefits while wearing this armor:
If the armor normally has a Strength requirement, the arcane armor lacks this requirement for you.
You can use the arcane armor as a spellcasting focus for your artificer spells.
The armor attaches to you and can't be removed against your will. It also expands to cover your entire body, although you can retract or deploy the helmet as a bonus action. The armor replaces any missing limbs, functioning identically to a limb it replaces.
You can doff or don the armor as an action.
The armor continues to be Arcane Armor until you don another suit of armor or you die.",armurier,Armure arcanique,"Armurier de niveau 3
Vos activités métallurgiques vous ont amené à faire de l'armure un canal pour votre magie. En une action, vous pouvez transformer une armure que vous portez en armure arcanique, à condition d'avoir des outils de forgeron en main. Vous obtenez les avantages suivants en portant cette armure :
Si l'armure a normalement une condition de Force, l'armure arcanique n'a pas cette condition pour vous.
Vous pouvez utiliser l'armure arcanique comme un point focal pour vos sorts d'artificier.
L'armure s'attache à vous et ne peut pas être retirée contre votre volonté. Elle s'étend également pour couvrir tout votre corps, bien que vous puissiez rétracter ou déployer le casque en une action bonus. L'armure remplace tous les membres manquants, fonctionnant de manière identique au membre qu'elle remplace.
Vous pouvez retirer ou enfiler l'armure en une action.
L'armure reste une armure arcanique jusqu'à ce que vous enfiliez une autre armure ou que vous mourriez.",3
9,armorer,Armor Model,"3rd-level Armorer feature
You can customize your Arcane Armor. When you do so, choose one of the following armor models: Guardian or Infiltrator. The model you choose gives you special benefits while you wear it.Each model includes a special weapon. When you attack with that weapon, you can add your Intelligence modifier, instead of Strength or Dexterity, to the attack and damage rolls.You can change the armor's model whenever you finish a short or long rest, provided you have smith's tools in hand.Guardian.
You design your armor to be in the front line of conflict. It has the following features:Thunder Gauntlets. Each of the armor's gauntlets counts as a simple melee weapon while you aren't holding anything in it, and it deals 1d8 thunder damage on a hit. A creature hit by the gauntlet has disadvantage on attack rolls against targets other than you until the start of your next turn, as the armor magically emits a distracting pulse when the creature attacks someone else.Defensive Field. As a bonus action, you can gain temporary hit points equal to your level in this class, replacing any temporary hit points you already have. You lose these temporary hit points if you doff the armor. You can use this bonus action a number of times equal to your proficiency bonus, and you regain all expended uses when you finish a long rest.Infiltrator.
You customize your armor for subtle undertakings. It has the following features:Lightning Launcher. A gemlike node appears on one of your armored fists or on the chest (your choice). It counts as a simple ranged weapon, with a normal range of 90 feet and a long range of 300 feet. and it deals 1d6 lightning damage on a hit. Once on each of your turns when you hit a creature with it, you can deal an extra 1d6 lightning damage to that target.Powered Steps. Your walking speed increases by 5 feet.Dampening Field. You have advantage on Dexterity (Stealth) checks. If the armor normally imposes disadvantage on such checks, the advantage and disadvantage cancel each other, as normal.",armurier,Modèle d'armure,"Armurier de niveau 3

Vous pouvez personnaliser votre armure arcanique. Pour ce faire, choisissez l'un des modèles d'armure suivants : Gardien ou Infiltrateur. Le modèle que vous choisissez vous confère des avantages spéciaux tant que vous le portez. Chaque modèle comprend une arme spéciale. Lorsque vous attaquez avec cette arme, vous pouvez ajouter votre modificateur d'Intelligence, au lieu de Force ou de Dextérité, aux jets d'attaque et de dégâts. Vous pouvez changer le modèle de l'armure à chaque fois que vous terminez un repos court ou long, à condition d'avoir des outils de forgeron en main. Gardien.
Vous concevez votre armure pour qu'elle soit en première ligne du conflit. Elle possède les caractéristiques suivantes : Gantelets de foudre. Chacun des gantelets de l'armure compte comme une arme de mêlée simple tant que vous ne tenez rien dedans, et il inflige 1d8 dégâts de foudre en cas de coup. Une créature touchée par le gantelet a un désavantage sur les jets d'attaque contre des cibles autres que vous jusqu'au début de votre prochain tour, car l'armure émet magiquement une impulsion de distraction lorsque la créature attaque quelqu'un d'autre. Champ défensif. En tant qu'action bonus, vous pouvez gagner des points de vie temporaires égaux à votre niveau dans cette classe, remplaçant les points de vie temporaires que vous possédez déjà. Vous perdez ces points de vie temporaires si vous retirez l'armure. Vous pouvez utiliser cette action bonus un nombre de fois égal à votre bonus de maîtrise, et vous récupérez tous les points dépensés lorsque vous terminez un repos long. Infiltrateur. 
Vous personnalisez votre armure pour des entreprises subtiles. Elle possède les caractéristiques suivantes : Lanceur de foudre. Un nœud semblable à une gemme apparaît sur l'un de vos poings blindés ou sur le torse (au choix). Il compte comme une arme à distance simple, avec une portée normale de 27 mètres et une longue portée de 91 mètres. et il inflige 1d6 dégâts de foudre en cas de coup. Une fois à chacun de vos tours, lorsque vous touchez une créature avec lui, vous pouvez infliger 1d6 dégâts de foudre supplémentaires à cette cible. Pas propulsés. Votre vitesse de marche augmente de 1,5 mètre. Champ d'atténuation. Vous avez l'avantage aux tests de Dextérité (Discrétion). Si l'armure impose normalement un désavantage sur de tels tests, l'avantage et le désavantage s'annulent, comme d'habitude.",3
