,subclass,ability,content,subclass_FR,contability_FR,content_FR,levels
0,ancestral-guardian,Ancestral Protectors,"Starting when you choose this path at 3rd level, spectral warriors appear when you enter your rage. While you’re raging, the first creature you hit with an attack on your turn becomes the target of the warriors, which hinder its attacks. Until the start of your next turn, that target has disadvantage on any attack roll that isn't against you, and when the target hits a creature other than you with an attack, that creature has resistance to the damage of the target’s attacks.",gardien ancestral,Protecteurs ancestraux,"À partir du moment où vous choisissez cette voie au niveau 3, des guerriers spectraux apparaissent lorsque vous entrez en rage. Pendant que vous êtes enragé, la première créature que vous frappez avec une attaque pendant votre tour devient la cible des guerriers, ce qui entrave ses attaques. Jusqu'au début de votre prochain tour, cette cible a un désavantage sur tout jet d'attaque qui n'est pas contre vous, et lorsque la cible frappe une créature autre que vous avec une attaque, cette créature a une résistance aux dégâts des attaques de la cible.",3.0
1,ancestral-guardian,Spirit Shield,"Beginning at 6th level, the guardian spirits that aid you can provide supernatural protection to those you defend. If you are raging and a creature you can see within 30 feet of you takes damage, you can use your reaction to reduce that damage by 2d6.When you reach certain levels in this class, you can reduce the damage by more: by 3d6 at 10th level and by 4d6 at 14th level.",gardien ancestral,Bouclier spirituel,"À partir du niveau 6, les esprits gardiens qui vous aident peuvent offrir une protection surnaturelle à ceux que vous défendez. Si vous êtes enragé et qu'une créature que vous pouvez voir à moins de 9 mètres de vous subit des dégâts, vous pouvez utiliser votre réaction pour réduire ces dégâts de 2d6. Lorsque vous atteignez certains niveaux dans cette classe, vous pouvez réduire les dégâts de plus : de 3d6 au niveau 10 et de 4d6 au niveau 14.",6.0
2,ancestral-guardian,Consult the Spirits,"At 10th level, you gain the ability to consult with your ancestral spirits. When you do so, you cast the Augury or Clairvoyance spell, without using a spell slot or material components. Rather than creating a spherical sensor, this use of Clairvoyance invisibly summons one of your ancestral spirits to the chosen location. Wisdom is your spellcasting ability for these spells.After you cast either spell in this way, you can’t use this feature again until you finish a short or long rest.",gardien ancestral,Consulter les esprits,"Au niveau 10, vous obtenez la capacité de consulter vos esprits ancestraux. Lorsque vous le faites, vous lancez le sort Augure ou Clairvoyance, sans utiliser d'emplacement de sort ou de composants matériels. Plutôt que de créer un capteur sphérique, cette utilisation de Clairvoyance invoque de manière invisible l'un de vos esprits ancestraux à l'endroit choisi. La Sagesse est votre capacité de lancement de sorts pour ces sorts. Après avoir lancé l'un ou l'autre sort de cette manière, vous ne pouvez plus utiliser cette capacité avant d'avoir terminé un repos court ou long.",10.0
3,ancestral-guardian,Vengeful Ancestors,"At 14th level, your ancestral spirits grow powerful enough to retaliate. When you use your Spirit Shield to reduce the damage of an attack, the attacker takes an amount of force damage that your Spirit Shield prevents.Source: Xanathar's Guide to Everything",gardien ancestral,Ancêtres vengeurs,"Au niveau 14, vos esprits ancestraux deviennent suffisamment puissants pour riposter. Lorsque vous utilisez votre Bouclier spirituel pour réduire les dégâts d'une attaque, l'attaquant subit une quantité de dégâts de force que votre Bouclier spirituel empêche. Source : Xanathar's Guide to Everything",14.0
4,battlerager,Restriction: Dwarves Only,Only dwarves can follow the Path of the Battlerager. The battlerager fills a particular niche in dwarven society and culture.Your DM can lift this restriction to better suit the campaign. The restriction exists for the Forgotten Realms. It might not apply to your DM's setting or your DM's version of the Realms.,enragé de la bataille,Restriction : Nains uniquement,Seuls les nains peuvent suivre la Voie du Guerrier enragé. Le Guerrier enragé occupe une niche particulière dans la société et la culture naines. Votre DM peut lever cette restriction pour mieux l'adapter à la campagne. Cette restriction existe pour les Royaumes Oubliés. Elle peut ne pas s'appliquer au cadre de votre DM ou à la version des Royaumes de votre DM.,
5,battlerager,Battlerager Armor,"When you choose this path at 3rd level, you gain the ability to use spiked armor as a weapon.While you are wearing Spiked Armor and are raging, you can use a bonus action to make one melee weapon attack with your armor spikes against a target within 5 feet of you. If the attack hits, the spikes deal 1d4 piercing damage. You use your Strength modifier for the attack and damage rolls.Additionally, when you use the Attack action to grapple a creature, the target takes 3 piercing damage if your grapple check succeeds.",enragé de la bataille,Armure de Battlerager,"Lorsque vous choisissez cette voie au niveau 3, vous obtenez la capacité d'utiliser une armure à pointes comme arme. Lorsque vous portez une armure à pointes et que vous êtes enragé, vous pouvez utiliser une action bonus pour effectuer une attaque d'arme de mêlée avec vos pointes d'armure contre une cible à 1,50 mètre ou moins de vous. Si l'attaque touche, les pointes infligent 1d4 dégâts perforants. Vous utilisez votre modificateur de Force pour les jets d'attaque et de dégâts. De plus, lorsque vous utilisez l'action Attaquer pour agripper une créature, la cible subit 3 dégâts perforants si votre test d'agrippement réussit.",3.0
6,battlerager,Reckless Abandon,"Beginning at 6th level, when you use Reckless Attack while raging, you also gain temporary hit points equal to your Constitution modifier (minimum of 1). They vanish if any of them are left when your rage ends.",enragé de la bataille,Abandon imprudent,"À partir du niveau 6, lorsque vous utilisez Attaque téméraire en étant enragé, vous gagnez également des points de vie temporaires égaux à votre modificateur de Constitution (minimum de 1). Ils disparaissent s'il en reste lorsque votre rage prend fin.",6.0
7,battlerager,Battlerager Charge,"Beginning at 10th level, you can take the Dash action as a bonus action while you are raging.",enragé de la bataille,Charge du guerrier enragé,"À partir du niveau 10, vous pouvez effectuer l'action Dash en tant qu'action bonus lorsque vous êtes enragé.",10.0
8,battlerager,Spiked Retribution,"Starting at 14th level, when a creature within 5 feet of you hits you with a melee attack, the attacker takes 3 piercing damage if you are raging, aren't incapacitated, and are wearing spiked armor.Source: Sword Coast Adventurer's Guide",enragé de la bataille,Rétribution à pointes,"À partir du niveau 14, lorsqu'une créature à moins de 1,50 mètre de vous vous frappe avec une attaque au corps à corps, l'attaquant subit 3 dégâts perforants si vous êtes enragé, n'êtes pas neutralisé et portez une armure à pointes. Source : Guide de l'aventurier de la Côte des Épées",14.0
9,beast,Origin of the Beast,"

d4
Origin


1
One of your parents is a lycanthrope, and you've inherited some of their curse.


2
You are descended from an archdruid and inherited the ability to partially change shape.


3
A fey spirit gifted you with the ability to adopt different bestial aspects.


4
An ancient animal spirit dwells within you, allowing you to walk this path.

",bête,Origine de la bête,"d4
Origine

1
L'un de vos parents est un lycanthrope et vous avez hérité d'une partie de leur malédiction.

2
Vous descendez d'un archidruide et avez hérité de la capacité de changer partiellement de forme.

3
Un esprit féerique vous a donné la capacité d'adopter différents aspects bestiaux.

4
Un ancien esprit animal habite en vous, vous permettant de parcourir ce chemin.",
