,subclass,ability,content,subclass_FR,contability_FR,content_FR,levels
0,creation,Mote of Potential,"3rd-level College of Creation feature
Whenever you give a creature a Bardic Inspiration die, you can utter a note from the Song of Creation to create a Tiny mote of potential, which orbits within 5 feet of that creature. The mote is intangible and invulnerable, and it lasts until the Bardic Inspiration die is lost. The mote looks like a musical note, a star, a flower, or another symbol of art or life that you choose.When the creature uses the Bardic Inspiration die, the mote provides an additional effect based on whether the die benefits an ability check, an attack roll, or a saving throw, as detailed below:Ability Check. When the creature rolls the Bardic Inspiration die to add it to an ability check, the creature can roll the Bardic Inspiration die again and choose which roll to use, as the mote pops and emits colorful, harmless sparks for a moment.Attack Roll. Immediately after the creature rolls the Bardic Inspiration die to add it to an attack roll against a target, the mote thunderously shatters. The target and each creature of your choice that you can see within 5 feet of it must succeed on a Constitution saving throw against your spell save DC or take thunder damage equal to the number rolled on the Bardic Inspiration die.Saving Throw. Immediately after the creature rolls the Bardic Inspiration die and adds it to a saving throw, the mote vanishes with the sound of soft music, causing the creature to gain temporary hit points equal to the number rolled on the Bardic Inspiration die plus your Charisma modifier (minimum of 1 temporary hit point).",création,Une part de potentiel,"3e niveau Collège de la Création
Chaque fois que vous donnez un dé d'Inspiration bardique à une créature, vous pouvez prononcer une note du Chant de la Création pour créer une minuscule particule de potentiel, qui orbite dans un rayon de 1,50 mètre autour de cette créature. La particule est intangible et invulnérable, et elle dure jusqu'à ce que le dé d'Inspiration bardique soit perdu. La particule ressemble à une note de musique, une étoile, une fleur ou un autre symbole d'art ou de vie que vous choisissez.Lorsque la créature utilise le dé d'Inspiration bardique, la particule fournit un effet supplémentaire selon que le dé bénéficie d'un test de caractéristique, d'un jet d'attaque ou d'un jet de sauvegarde, comme détaillé ci-dessous :Test de caractéristique. Lorsque la créature lance le dé d'Inspiration bardique pour l'ajouter à un test de caractéristique, la créature peut relancer le dé d'Inspiration bardique et choisir le jet à utiliser, car la particule éclate et émet des étincelles colorées et inoffensives pendant un moment.Jeu d'attaque. Immédiatement après que la créature a lancé le dé d'Inspiration bardique pour l'ajouter à un jet d'attaque contre une cible, la particule se brise avec fracas. La cible et chaque créature de votre choix que vous pouvez voir dans un rayon de 1,50 mètre doivent réussir un jet de sauvegarde de Constitution contre le DD de sauvegarde de votre sort ou subir des dégâts de foudre égaux au nombre obtenu sur le dé d'Inspiration bardique. Jet de sauvegarde. Immédiatement après que la créature a lancé le dé d'Inspiration bardique et l'a ajouté à un jet de sauvegarde, la particule disparaît au son d'une musique douce, ce qui fait que la créature gagne des points de vie temporaires égaux au nombre obtenu sur le dé d'Inspiration bardique plus votre modificateur de Charisme (minimum de 1 point de vie temporaire).",3
1,creation,Performance of Creation,"3rd-level College of Creation feature
As an action, you can channel the magic of the Song of Creation to create one nonmagical item of your choice in an unoccupied space within 10 feet of you. The item must appear on a surface or in a liquid that can support it. The gp value of the item can't be more than 20 times your bard level, and the item must be Medium or smaller. The item glimmers softly, and a creature can faintly hear music when touching it. The created item disappears after a number of hours equal to your proficiency bonus. For examples of items you can create, see the equipment chapter of the Player's Handbook.Once you create an item with this feature, you can't do so again until you finish a long rest, unless you expend a spell slot of 2nd level or higher to use this feature again. You can have only one item created by this feature at a time; if you use this action and already have an item from this feature, the first one immediately vanishes.The size of the item you can create with this feature increases by one size category when you reach 6th level (Large) and 14th level (Huge).",création,Performance de création,"Fonction du Collège de la Création de niveau 3
En tant qu'action, vous pouvez canaliser la magie du Chant de la Création pour créer un objet non magique de votre choix dans un espace inoccupé à 3 mètres ou moins de vous. L'objet doit apparaître sur une surface ou dans un liquide qui peut le supporter. La valeur en po de l'objet ne peut pas être supérieure à 20 fois votre niveau de barde, et l'objet doit être de taille moyenne ou inférieure. L'objet scintille doucement, et une créature peut entendre une faible musique en le touchant. L'objet créé disparaît après un nombre d'heures égal à votre bonus de maîtrise. Pour des exemples d'objets que vous pouvez créer, consultez le chapitre sur l'équipement du Manuel du joueur.Une fois que vous avez créé un objet avec cette fonction, vous ne pouvez pas le refaire avant d'avoir terminé un repos long, à moins que vous n'utilisiez un emplacement de sort de niveau 2 ou supérieur pour utiliser à nouveau cette fonction. Vous ne pouvez créer qu'un seul objet à la fois avec cette fonction ; si vous utilisez cette action et que vous possédez déjà un objet de cette fonctionnalité, le premier disparaît immédiatement. La taille de l'objet que vous pouvez créer avec cette fonctionnalité augmente d'une catégorie de taille lorsque vous atteignez le niveau 6 (Grand) et le niveau 14 (Énorme).",3
2,creation,Animating Performance,"6th-level College of Creation feature
As an action, you can target a Large or smaller nonmagical item you can see within 30 feet of you and animate it. The animate item uses the Dancing Item stat block, which uses your proficiency bonus (PB). The item is friendly to you and your companions and obeys your commands. It lives for 1 hour, until it is reduced to 0 hit points, or until you die.In combat, the item shares your initiative count, but it takes its turn immediately after yours. It can move and use its reaction on its own, but the only action it takes on its turn is the Dodge action, unless you take a bonus action on your turn to command it to take another action. That action can be one in its stat block or some other action. If you are incapacitated, the item can take any action of its choice, not just Dodge.When you use your Bardic Inspiration feature, you can command the item as part of the same bonus action you use for Bardic Inspiration.Once you animate an item with this feature, you can't do so again until you finish a long rest, unless you expend a spell slot of 3rd level or higher to use this feature again. You can have only one item animated by this feature at a time; if you use this action and already have a dancing item from this feature, the first one immediately becomes inanimate.",création,Animation de la performance,"6e niveau Collège de la Création
En tant qu'action, vous pouvez cibler un objet non magique de taille G ou plus petit que vous pouvez voir à moins de 9 mètres de vous et l'animer. L'objet animé utilise le bloc de statistiques Objet dansant, qui utilise votre bonus de maîtrise (PB). L'objet est amical envers vous et vos compagnons et obéit à vos ordres. Il vit pendant 1 heure, jusqu'à ce qu'il soit réduit à 0 point de vie, ou jusqu'à ce que vous mouriez. En combat, l'objet partage votre nombre d'initiatives, mais il joue son tour immédiatement après le vôtre. Il peut se déplacer et utiliser sa réaction de lui-même, mais la seule action qu'il entreprend à son tour est l'action Esquive, à moins que vous n'entrepreniez une action bonus à votre tour pour lui ordonner d'entreprendre une autre action. Cette action peut être une action de son bloc de statistiques ou une autre action. Si vous êtes dans l'incapacité de lancer un sort, l'objet peut effectuer n'importe quelle action de son choix, pas seulement Esquiver.Lorsque vous utilisez votre capacité Inspiration bardique, vous pouvez commander l'objet dans le cadre de la même action bonus que celle que vous utilisez pour Inspiration bardique.Une fois que vous avez animé un objet avec cette capacité, vous ne pouvez plus le faire avant d'avoir terminé un repos long, à moins que vous n'utilisiez un emplacement de sort de niveau 3 ou supérieur pour utiliser à nouveau cette capacité. Vous ne pouvez avoir qu'un seul objet animé par cette capacité à la fois ; si vous utilisez cette action et que vous avez déjà un objet dansant de cette capacité, le premier devient immédiatement inanimé.",6
3,creation,Creation Crescendo,"14th-level College of Creation feature
When you use your Performance of Creation feature, you can create more than one item at once. The number of items equals your Charisma modifier (minimum of two items). If you create an item that would exceed that number, you choose which of the previously created items disappears. Only one of these items can be of the maximum size you can create; the rest must be Small or Tiny.You are no longer limited by gp value when creating items with Performance of Creation.Source: Tasha's Cauldron of Everything",création,Crescendo de la création,"14e niveau Collège de création
Lorsque vous utilisez votre fonction Performance de création, vous pouvez créer plusieurs objets à la fois. Le nombre d'objets est égal à votre modificateur de Charisme (minimum de deux objets). Si vous créez un objet qui dépasserait ce nombre, vous choisissez lequel des objets précédemment créés disparaît. Un seul de ces objets peut avoir la taille maximale que vous pouvez créer ; les autres doivent être Petits ou Minuscules.Vous n'êtes plus limité par la valeur en po lorsque vous créez des objets avec Performance de création.Source : Le chaudron de tout de Tasha",14
4,eloquence,Silver Tongue,"3rd-level College of Eloquence feature
You are a master at saying the right thing at the right time. When you make a Charisma ( Persuasion) or Charisma (Deception) check, you can treat a d20 roll of 9 or lower as a 10.",éloquence,Langue d'argent,"3e niveau - Faculté d'éloquence
Vous êtes passé maître dans l'art de dire la bonne chose au bon moment. Lorsque vous faites un test de Charisme (Persuasion) ou de Charisme (Tromperie), vous pouvez considérer un jet de d20 de 9 ou moins comme un 10.",3
5,eloquence,Unsettling Words,"3rd-level College of Eloquence feature
You can spin words laced with magic that unsettle a creature and cause it to doubt itself. As a bonus action, you can expend one use of your Bardic Inspiration and choose one creature you can see within 60 feet of you. Roll the Bardic Inspiration die. The creature must subtract the number rolled from the next saving throw it makes before the start of your next turn.",éloquence,Des mots dérangeants,"3e niveau Collège d'éloquence
Vous pouvez inventer des mots mêlés de magie qui déstabilisent une créature et la font douter d'elle-même. En tant qu'action bonus, vous pouvez dépenser une utilisation de votre Inspiration bardique et choisir une créature que vous pouvez voir à 18 mètres ou moins de vous. Lancez le dé Inspiration bardique. La créature doit soustraire le nombre obtenu du prochain jet de sauvegarde qu'elle effectue avant le début de votre prochain tour.",3
6,eloquence,Unfailing Inspiration,"6th-level College of Eloquence feature
Your inspiring words are so persuasive that others feel driven to succeed. When a creature adds one of your Bardic Inspiration dice to its ability check, attack roll, or saving throw and the roll fails, the creature can keep the Bardic Inspiration die.",éloquence,Une inspiration inépuisable,"6e niveau Collège d'éloquence
Vos paroles inspirantes sont si convaincantes que les autres se sentent poussés à réussir. Lorsqu'une créature ajoute l'un de vos dés d'Inspiration bardique à son test de caractéristique, à son jet d'attaque ou à son jet de sauvegarde et que le jet échoue, la créature peut conserver le dé d'Inspiration bardique.",6
7,eloquence,Universal Speech,"6th-level College of Eloquence feature
You have gained the ability to make your speech intelligible to any creature. As an action, choose one or more creatures within 60 feet of you, up to a number equal to your Charisma modifier (minimum of one creature). The chosen creatures can magically understand you, regardless of the language you speak, for 1 hour.Once you use this feature, you can't use it again until you finish a long rest, unless you expend a spell slot to use it again.",éloquence,Discours universel,"6e niveau - Capacité du Collège d'éloquence
Vous avez acquis la capacité de rendre votre discours intelligible à n'importe quelle créature. Par une action, choisissez une ou plusieurs créatures situées à 18 mètres ou moins de vous, jusqu'à un nombre égal à votre modificateur de Charisme (minimum d'une créature). Les créatures choisies peuvent vous comprendre par magie, quelle que soit la langue que vous parlez, pendant 1 heure. Une fois que vous avez utilisé cette capacité, vous ne pouvez plus l'utiliser avant d'avoir terminé un repos long, à moins que vous ne dépensiez un emplacement de sort pour l'utiliser à nouveau.",6
8,eloquence,Infectious Inspiration,"14th-level College of Eloquence feature
When you successfully inspire someone, the power of your eloquence can now spread to someone else. When a creature within 60 feet of you adds one of your Bardic Inspiration dice to its ability check, attack roll, or saving throw and the roll succeeds, you can use your reaction to encourage a different creature (other than yourself) that can hear you within 60 feet of you, giving it a Bardic Inspiration die without expending any of your Bardic Inspiration uses.You can use this reaction a number of times equal to your Charisma modifier (minimum of once), and you regain all expended uses when you finish a long rest.Source: Mythic Odysseys of Theros",éloquence,Inspiration contagieuse,"14e niveau Collège d'éloquence - Fonctionnalité
Lorsque vous parvenez à inspirer quelqu'un, le pouvoir de votre éloquence peut désormais se propager à quelqu'un d'autre. Lorsqu'une créature à 18 mètres ou moins de vous ajoute l'un de vos dés d'Inspiration bardique à son test de caractéristique, à son jet d'attaque ou à son jet de sauvegarde et que le jet réussit, vous pouvez utiliser votre réaction pour encourager une autre créature (autre que vous-même) qui peut vous entendre à 18 mètres ou moins de vous, lui donnant un dé d'Inspiration bardique sans dépenser aucune de vos utilisations d'Inspiration bardique. Vous pouvez utiliser cette réaction un nombre de fois égal à votre modificateur de Charisme (minimum d'une fois), et vous récupérez toutes les utilisations dépensées lorsque vous terminez un repos long.Source : Mythic Odysseys of Theros",14
9,glamour,Mantle of Inspiration,"When you join the College of Glamour at 3rd level, you gain the ability to weave a song of fey magic that imbues your allies with vigor and speed.As a bonus action, you can expend one use of your Bardic Inspiration to grant yourself a wondrous appearance. When you do so, choose a number of creatures you can see and who can see you within 60 feet of you, up to a number equal to your Charisma modifier (minimum of one). Each of them gains 5 temporary hit points. When a creature gains these temporary hit points, it can immediately use its reaction to move up to its speed, without provoking opportunity attacks.The number of temporary hit points increases when you reach certain levels in this class, increasing to 8 at 5th level, 11 at 10th level, and 14 at 15th level.",charme,Manteau d'inspiration,"Lorsque vous rejoignez le Collège du Glamour au niveau 3, vous obtenez la capacité de tisser un chant de magie féerique qui imprègne vos alliés de vigueur et de vitesse. En tant qu'action bonus, vous pouvez dépenser une utilisation de votre Inspiration bardique pour vous accorder une apparence merveilleuse. Lorsque vous faites cela, choisissez un nombre de créatures que vous pouvez voir et qui peuvent vous voir dans un rayon de 18 mètres autour de vous, jusqu'à un nombre égal à votre modificateur de Charisme (minimum de un). Chacune d'entre elles gagne 5 points de vie temporaires. Lorsqu'une créature gagne ces points de vie temporaires, elle peut immédiatement utiliser sa réaction pour se déplacer à sa vitesse, sans provoquer d'attaques d'opportunité. Le nombre de points de vie temporaires augmente lorsque vous atteignez certains niveaux dans cette classe, passant à 8 au niveau 5, 11 au niveau 10 et 14 au niveau 15.",3
