,subclass,ability,content,subclass_FR,contability_FR,content_FR,levels
0,blighted,Defile Ground,"Starting at 2nd level when you choose this circle, you can use a bonus action to corrupt a patch of land or an area of water in a 10-foot radius centered on a point within 60 feet of you. This corruption lasts for 1 minute. The corrupted area is difficult terrain for creatures that are hostile to you. Additionally, when a creature in the area takes damage from an attack or spell for the first time on a turn, it takes an extra 1d4 necrotic damage. You can move this patch of corruption up to 30 feet as a bonus action. Flying creatures are unaffected by the corruption.Starting at 10th level, the area of your defiled ground increases to a 20-foot radius. Additionally, the extra damage dealt by your defiled ground increases to 1d6 when you reach 10th level in this class, and 1d8 at 14th level.Once you use this feature, you can’t use it again until you finish a short or long rest.",flétri,Terrain souillé,"À partir du niveau 2, lorsque vous choisissez ce cercle, vous pouvez utiliser une action bonus pour corrompre une zone de terrain ou une étendue d'eau dans un rayon de 3 mètres centré sur un point situé à 18 mètres ou moins de vous. Cette corruption dure 1 minute. La zone corrompue est un terrain difficile pour les créatures qui vous sont hostiles. De plus, lorsqu'une créature dans la zone subit des dégâts d'une attaque ou d'un sort pour la première fois au cours d'un tour, elle subit 1d4 dégâts nécrotiques supplémentaires. Vous pouvez déplacer cette zone corrompue jusqu'à 9 mètres par une action bonus. Les créatures volantes ne sont pas affectées par la corruption. À partir du niveau 10, la zone de votre sol souillé augmente jusqu'à un rayon de 6 mètres. De plus, les dégâts supplémentaires infligés par votre sol souillé augmentent à 1d6 lorsque vous atteignez le niveau 10 dans cette classe, et à 1d8 au niveau 14. Une fois que vous avez utilisé cette capacité, vous ne pouvez plus l'utiliser avant d'avoir terminé un repos court ou long.",2
1,blighted,Blighted Shape,"Also at 2nd level, your physical form begins to show effects of the corruption you wield, tracing blackened veins across your skin, producing gnarled, bony protrusions, or other eerie phenomena. You gain proficiency in the Charisma (Intimidation) skill.Additionally, while you are transformed by your Wild Shape feature, you gain a +2 bonus to AC as gnarled spines protrude from your body. Your beast form also gains darkvision with a radius of 60 feet, or an additional 60 feet of darkvision if it already has that sense.",flétri,Forme délabrée,"Au niveau 2, votre forme physique commence à montrer les effets de la corruption que vous utilisez, traçant des veines noircies sur votre peau, produisant des protubérances osseuses noueuses ou d'autres phénomènes étranges. Vous gagnez la maîtrise de la compétence Charisme (Intimidation). De plus, lorsque vous êtes transformé par votre capacité Forme sauvage, vous obtenez un bonus de +2 à la CA car des épines noueuses sortent de votre corps. Votre forme bestiale gagne également la vision dans le noir avec un rayon de 18 mètres, ou 18 mètres supplémentaires de vision dans le noir si elle possède déjà ce sens.",2
2,blighted,Call of the Shadowseeds,"At 6th level, you learn to summon the feral children of the forest from the life force of your enemies. When a creature that is not undead or a construct takes damage within the area of your Defile Ground feature, you can use your reaction to summon a blighted sapling in an unoccupied space within 5 feet of the creature. You can direct the sapling to make an attack against any creature within 5 feet of it as a part of this reaction. The sapling then acts on your initiative, obeying your verbal commands.The blighted sapling remains in your service until it's reduced to 0 hit points, until the end of your next long rest, or until you summon another sapling, at which point it crumbles into foul-smelling mulch. You can use this feature a number of times equal to your proficiency bonus, regaining all expended uses when you finish a long rest.The sapling uses the statistics below. Its features scale based on your level and proficiency bonus (PB).",flétri,L'appel des graines d'ombre,"Au niveau 6, vous apprenez à invoquer les enfants sauvages de la forêt à partir de la force vitale de vos ennemis. Lorsqu'une créature qui n'est ni un mort-vivant ni une créature artificielle subit des dégâts dans la zone de votre capacité Souillure du sol, vous pouvez utiliser votre réaction pour invoquer un jeune arbre flétri dans un espace inoccupé à 1,50 mètre de la créature. Vous pouvez ordonner au jeune arbre de lancer une attaque contre toute créature à 1,50 mètre de lui dans le cadre de cette réaction. Le jeune arbre agit alors à votre initiative, obéissant à vos ordres verbaux. Le jeune arbre flétri reste à votre service jusqu'à ce qu'il soit réduit à 0 point de vie, jusqu'à la fin de votre prochain repos long, ou jusqu'à ce que vous invoquiez un autre jeune arbre, auquel cas il s'effrite en un paillis nauséabond. Vous pouvez utiliser cette capacité un nombre de fois égal à votre bonus de maîtrise, récupérant toutes les utilisations dépensées lorsque vous terminez un repos long. Le jeune arbre utilise les statistiques ci-dessous. Ses capacités évoluent en fonction de votre niveau et de votre bonus de maîtrise (PB).",6
3,blighted,Foul Conjuration,"Starting at 10th level, the creatures you conjure are malformed and bloated with toxins. Any beast, fey, or plant (including your blighted sapling) summoned or created by your spells or class features gains the following traits:Blighted Resilience. The creature has immunity to necrotic and poison damage and to the poisoned condition.Toxic Demise. When the creature is reduced to 0 hit points, it explodes in a burst of toxic mulch or fetid viscera. Each creature within 5 feet of the exploding creature must succeed on a Constitution saving throw against your spell save DC or take necrotic damage based on the creature's challenge rating (see the table below). As an action, you can also cause a summoned creature to explode, immediately killing it.Toxic Demise Damage

Creature CR
Damage


1/4 or lower
1d4 necrotic damage


1/2
1d6 necrotic damage


1 or higher
A number of d8s of necrotic damage equal to the creature's challenge rating


No challenge rating
A number of d6s of necrotic damage equal to your proficiency bonus

",flétri,Conjuration immonde,"À partir du niveau 10, les créatures que vous invoquez sont malformées et gonflées de toxines. Toute bête, fée ou plante (y compris votre jeune arbre flétri) invoquée ou créée par vos sorts ou vos aptitudes de classe gagne les traits suivants :Résilience flétrie. La créature est immunisée aux dégâts nécrotiques et de poison et à l'état empoisonné.Décès toxique. Lorsque la créature est réduite à 0 point de vie, elle explose dans une explosion de paillis toxique ou de viscères fétides. Chaque créature à 1,50 mètre ou moins de la créature qui explose doit réussir un jet de sauvegarde de Constitution contre le DD de sauvegarde de votre sort ou subir des dégâts nécrotiques en fonction du niveau de défi de la créature (voir le tableau ci-dessous). En tant qu'action, vous pouvez également faire exploser une créature invoquée, la tuant immédiatement. Dégâts de Mort Toxique

CR de Créature
Dégâts

1/4 ou moins
1d4 dégâts nécrotiques

1/2
1d6 dégâts nécrotiques

1 ou plus
Un nombre de d8 de dégâts nécrotiques égal au niveau de défi de la créature

Aucun niveau de défi
Un nombre de d6 de dégâts nécrotiques égal à votre bonus de maîtrise",10
4,blighted,Incarnation of Corruption,"At 14th level, your physical form begins to take on the tainted traits of the land you are bonded to. Your skin grows ashen, and your eyes darken or turn completely white. Spines and jagged spurs emerge from your body, granting you resistance to necrotic damage and a +2 bonus to AC.Additionally, whenever you start your turn within the radius of the corruption created by your Defile Ground feature, you can use a bonus action to gain temporary hit points equal to your proficiency bonus.Source: Tal'Dorei Campaign Setting Reborn",flétri,Incarnation de la corruption,"Au niveau 14, votre forme physique commence à prendre les traits souillés de la terre à laquelle vous êtes lié. Votre peau devient cendrée et vos yeux s'assombrissent ou deviennent complètement blancs. Des épines et des éperons déchiquetés émergent de votre corps, vous conférant une résistance aux dégâts nécrotiques et un bonus de +2 à la CA. De plus, chaque fois que vous commencez votre tour dans le rayon de la corruption créée par votre capacité Souillure du sol, vous pouvez utiliser une action bonus pour gagner des points de vie temporaires égaux à votre bonus de maîtrise. Source : Cadre de campagne de Tal'Dorei Reborn",14
5,dreams,Balm of the Summer Court,"At 2nd level, you become imbued with the blessings of the Summer Court. You are a font of energy that offers respite from injuries. You have a pool of fey energy represented by a number of d6s equal to your druid level.As a bonus action, you can choose an ally you can see within 120 feet of you and spend a number of those dice equal to half your druid level or less. Roll the spent dice and add them together. The target regains a number of hit points equal to the total. The target also gains 1 temporary hit point per die spent.You regain the expended dice when you finish a long rest.",rêves,Baume de la Cour d'Été,"Au niveau 2, vous êtes imprégné des bénédictions de la Cour d'été. Vous êtes une source d'énergie qui offre un répit aux blessures. Vous disposez d'une réserve d'énergie féerique représentée par un nombre de d6 égal à votre niveau de druide. En tant qu'action bonus, vous pouvez choisir un allié que vous pouvez voir à 36 mètres ou moins de vous et dépenser un nombre de ces dés égal à la moitié de votre niveau de druide ou moins. Lancez les dés dépensés et additionnez-les. La cible récupère un nombre de points de vie égal au total. La cible gagne également 1 point de vie temporaire par dé dépensé. Vous récupérez les dés dépensés lorsque vous terminez un repos long.",2
6,dreams,Hearth of Moonlight and Shadow,"At 6th level, home can be wherever you are. During a short or long rest, you can invoke the shadowy power of the Gloaming Court to help guard your respite. At the start of the rest, you touch a point in space, and an invisible, 30-foot-radius sphere of magic appears, centered on that point. Total cover blocks the sphere.While within the sphere, you and your allies gain a +5 bonus to Dexterity (Stealth) and Wisdom (Perception) checks, and any light from open flames in the sphere (a campfire, torches, or the like) isn't visible outside it.The sphere vanishes at the end of the rest or when you leave the sphere.",rêves,Le foyer du clair de lune et de l'ombre,"Au niveau 6, votre foyer peut être n'importe où. Pendant un repos court ou long, vous pouvez invoquer le pouvoir ténébreux de la Cour du Crépuscule pour vous aider à protéger votre répit. Au début du repos, vous touchez un point dans l'espace et une sphère de magie invisible de 9 mètres de rayon apparaît, centrée sur ce point. Une couverture totale bloque la sphère. Lorsque vous êtes dans la sphère, vous et vos alliés obtenez un bonus de +5 aux tests de Dextérité (Discrétion) et de Sagesse (Perception), et toute lumière provenant de flammes nues dans la sphère (un feu de camp, des torches ou autre) n'est pas visible à l'extérieur. La sphère disparaît à la fin du repos ou lorsque vous quittez la sphère.",6
7,dreams,Hidden Paths,"Starting at 10th level, you can use the hidden, magical pathways that some fey use to traverse space in a blink of an eye. As a bonus action on your turn, you can teleport up to 60 feet to an unoccupied space you can see. Alternatively, you can use your action to teleport one willing creature you touch up to 30 feet to an unoccupied space you can see.You can use this feature a number of times equal to your Wisdom modifier (minimum of once), and you regain all expended uses of it when you finish a long rest.",rêves,Chemins cachés,"À partir du niveau 10, vous pouvez utiliser les chemins magiques cachés que certaines fées empruntent pour traverser l'espace en un clin d'œil. En tant qu'action bonus lors de votre tour, vous pouvez vous téléporter jusqu'à 18 mètres dans un espace inoccupé que vous pouvez voir. Vous pouvez également utiliser votre action pour téléporter une créature consentante que vous touchez jusqu'à 9 mètres dans un espace inoccupé que vous pouvez voir. Vous pouvez utiliser cette capacité un nombre de fois égal à votre modificateur de Sagesse (minimum d'une fois), et vous récupérez toutes les utilisations dépensées lorsque vous terminez un repos long.",10
8,dreams,Walker in Dreams,"At 14th level, the magic of the Feywild grants you the ability to travel mentally or physically through dreamlands.When you finish a short rest, you can cast one of the following spells, without expending a spell slot or requiring material components: Dream (with you as the messenger), Scrying, or Teleportation Circle.This use of Teleportation Circle is special. Rather than opening a portal to a permanent teleportation circle, it opens a portal to the last location where you finished a long rest on your current plane of existence. If you haven't taken a long rest on your current plane, the spell fails but isn't wasted.Once you use this feature, you can't use it again until you finish a long rest.Source: Xanathar's Guide to Everything",rêves,Marcheur dans les rêves,"Au niveau 14, la magie du Feywild vous donne la capacité de voyager mentalement ou physiquement à travers les terres oniriques.Lorsque vous terminez un repos court, vous pouvez lancer l'un des sorts suivants, sans dépenser d'emplacement de sort ni nécessiter de composants matériels : Rêve (dont vous êtes le messager), Scrutation ou Cercle de téléportation.Cette utilisation du Cercle de téléportation est spéciale. Plutôt que d'ouvrir un portail vers un cercle de téléportation permanent, il ouvre un portail vers le dernier endroit où vous avez terminé un repos long sur votre plan d'existence actuel. Si vous n'avez pas pris de repos long sur votre plan actuel, le sort échoue mais n'est pas gaspillé.Une fois que vous avez utilisé cette fonctionnalité, vous ne pouvez plus l'utiliser avant d'avoir terminé un repos long.Source : Xanathar's Guide to Everything",14
9,land,Bonus Cantrip,"When you choose this circle at 2nd level, you learn one additional druid cantrip of your choice.",atterrir,Bonus Cantrip,"Lorsque vous choisissez ce cercle au niveau 2, vous apprenez un tour de druide supplémentaire de votre choix.",2
