,subclass,ability,content,subclass_FR,contability_FR,content_FR,levels
0,arcane-archer,Arcane Archer Lore,"At 3rd level, you learn magical theory or some of the secrets of nature – typical for practitioners of of this elven martial tradition. You choose to gain proficiency in either the Arcana or the Nature skill, and you choose to learn either the Prestidigitation or Druidcraft cantrip.",archer arcanique,Connaissances des archers arcaniques,"Au niveau 3, vous apprenez la théorie magique ou certains secrets de la nature, typiques des pratiquants de cette tradition martiale elfique. Vous choisissez de maîtriser soit la compétence Arcanes, soit la compétence Nature, et vous choisissez d'apprendre soit le tour de passe-passe Prestidigitation, soit le tour de passe-passe Druidisme.",3.0
1,arcane-archer,Arcane Shot,"At 3rd level, you learn to unleash special magical effects with some of your shots. When you gain this feature, you learn two Arcane Shot options of your choice (see ""Arcane Shot Options"").Once per turn when you fire an arrow from a shortbow or longbow as part of the Attack action, you can apply one of your Arcane Shot options to that arrow. You decide to use the option when the arrow hits, unless the option doesn’t involve an attack roll. You have two uses of this ability, and you regain all expended uses of it when you finish a short or long rest.You gain an additional Arcane Shot option of your choice when you reach certain levels in this class: 7th, 10th, 15th, and 18th level. Each option also improves when you become an 18th-level fighter.",archer arcanique,Tir des arcanes,"Au niveau 3, vous apprenez à déclencher des effets magiques spéciaux avec certains de vos tirs. Lorsque vous obtenez cette capacité, vous apprenez deux options de Tir des arcanes de votre choix (voir « Options de Tir des arcanes »). Une fois par tour, lorsque vous tirez une flèche avec un arc court ou un arc long dans le cadre de l'action Attaquer, vous pouvez appliquer l'une de vos options de Tir des arcanes à cette flèche. Vous décidez d'utiliser l'option lorsque la flèche touche, à moins que l'option n'implique pas de jet d'attaque. Vous avez deux utilisations de cette capacité, et vous récupérez toutes les utilisations dépensées lorsque vous terminez un repos court ou long. Vous obtenez une option de Tir des arcanes supplémentaire de votre choix lorsque vous atteignez certains niveaux dans cette classe : 7e, 10e, 15e et 18e niveau. Chaque option s'améliore également lorsque vous devenez un combattant de niveau 18.",3.0
2,arcane-archer,Magic Arrow,"At 7th level, you gain the ability to infuse arrows with magic. Whenever you fire a nonmagical arrow from a shortbow or longbow, you can make it magical for the purpose of overcoming resistance and immunity to nonmagical attacks and damage. The magic fades from the arrow immediately after it hits or misses its target.",archer arcanique,Flèche magique,"Au niveau 7, vous obtenez la capacité d'imprégner les flèches de magie. Chaque fois que vous tirez une flèche non magique avec un arc court ou long, vous pouvez la rendre magique afin de surmonter la résistance et l'immunité aux attaques et dégâts non magiques. La magie de la flèche disparaît immédiatement après qu'elle a touché ou raté sa cible.",7.0
3,arcane-archer,Curving Shot,"At 7th level, you learn how to direct an errant arrow toward a new target. When you make an attack roll with a magic arrow and miss, you can use a bonus action to reroll the attack roll against a different target within 60 feet of the original target.",archer arcanique,Tir courbé,"Au niveau 7, vous apprenez à diriger une flèche errante vers une nouvelle cible. Lorsque vous effectuez un jet d'attaque avec une flèche magique et que vous ratez votre cible, vous pouvez utiliser une action bonus pour relancer le jet d'attaque contre une cible différente située à 18 mètres ou moins de la cible d'origine.",7.0
4,arcane-archer,Ever-Ready Shot,"Starting at 15th level, your magical archery is available whenever battle starts. If you roll initiative and have no uses of Arcane Shot remaining, you regain one use of it.Source: Xanathar's Guide to Everything",archer arcanique,Tir toujours prêt,"À partir du niveau 15, votre tir à l'arc magique est disponible dès le début de la bataille. Si vous obtenez l'initiative et qu'il ne vous reste plus aucune utilisation de Tir des arcanes, vous en récupérez une. Source : Xanathar's Guide to Everything",15.0
5,battle-master,Combat Superiority,"When you choose this archetype at 3rd level, you learn maneuvers that are fueled by special dice called superiority dice.Maneuvers
You learn three maneuvers of your choice. Many maneuvers enhance an attack in some way. You can use only one maneuver per attack. You learn two additional maneuvers of your choice at 7th, 10th, and 15th level. Each time you learn new maneuvers, you can also replace one maneuver you know with a different one.Superiority Dice
You have four superiority dice, which are d8s. A superiority die is expended when you use it. You regain all of your expended superiority dice when you finish a short or long rest. You gain another superiority die at 7th level and one more at 15th level.Saving Throws
Some of your maneuvers require your target to make a saving throw to resist the maneuver's effects. The saving throw DC is calculated as follows:Maneuver save DC = 8 + your proficiency bonus + your Strength or Dexterity modifier (your choice)",maître de bataille,Supériorité au combat,"Lorsque vous choisissez cet archétype au niveau 3, vous apprenez des manœuvres alimentées par des dés spéciaux appelés dés de supériorité. Manœuvres
Vous apprenez trois manœuvres de votre choix. De nombreuses manœuvres améliorent une attaque d'une manière ou d'une autre. Vous ne pouvez utiliser qu'une seule manœuvre par attaque. Vous apprenez deux manœuvres supplémentaires de votre choix aux niveaux 7, 10 et 15. Chaque fois que vous apprenez de nouvelles manœuvres, vous pouvez également remplacer une manœuvre que vous connaissez par une autre. Dés de supériorité
Vous disposez de quatre dés de supériorité, qui sont des d8. Un dé de supériorité est dépensé lorsque vous l'utilisez. Vous récupérez tous vos dés de supériorité dépensés lorsque vous terminez un repos court ou long. Vous gagnez un autre dé de supériorité au niveau 7 et un autre au niveau 15. Jets de sauvegarde
Certaines de vos manœuvres nécessitent que votre cible effectue un jet de sauvegarde pour résister aux effets de la manœuvre. Le DD du jet de sauvegarde est calculé comme suit : DD du jet de sauvegarde de manœuvre = 8 + votre bonus de maîtrise + votre modificateur de Force ou de Dextérité (à votre choix)",3.0
6,battle-master,Student of War,"At 3rd level, you gain proficiency with one type of artisan's tools of your choice.",maître de bataille,Étudiant en guerre,"Au niveau 3, vous acquérez la maîtrise d'un type d'outils d'artisan de votre choix.",3.0
7,battle-master,Know Your Enemy,"Starting at 7th level, if you spend at least 1 minute observing or interacting with another creature outside combat, you can learn certain information about its capabilities compared to your own. The DM tells you if the creature is your equal, superior, or inferior in regard to two of the following characteristics of your choice:
Strength score
Dexterity score
Constitution score
Armor Class
Current hit points
Total class levels, if any
Fighter class levels, if any
",maître de bataille,Connaissez votre ennemi,"À partir du niveau 7, si vous passez au moins 1 minute à observer ou à interagir avec une autre créature en dehors du combat, vous pouvez apprendre certaines informations sur ses capacités par rapport aux vôtres. Le MD vous indique si la créature est votre égale, supérieure ou inférieure en ce qui concerne deux des caractéristiques suivantes de votre choix :
Score de force
Score de dextérité
Score de constitution
Classe d'armure
Points de vie actuels
Niveaux de classe totaux, le cas échéant
Niveaux de classe de combattant, le cas échéant",7.0
8,battle-master,Improved Combat Superiority,"At 10th level, your superiority dice turn into d10s. At 18th level, they turn into d12s.",maître de bataille,Amélioration de la supériorité au combat,"Au niveau 10, vos dés de supériorité se transforment en d10. Au niveau 18, ils se transforment en d12.",10.0
9,battle-master,Relentless,"Starting at 15th level, when you roll initiative and have no superiority dice remaining, you regain 1 superiority die.Source: Player's Handbook",maître de bataille,Sans relâche,"À partir du niveau 15, lorsque vous lancez l'initiative et qu'il ne vous reste plus de dés de supériorité, vous récupérez 1 dé de supériorité.Source : Manuel du joueur",15.0
