,subclass,ability,content,subclass_FR,contability_FR,content_FR,levels
0,mercy,Implements of Mercy,"3rd-level Way of Mercy feature
You gain proficiency in the Insight and Medicine skills, and you gain proficiency with the
herbalism kit.You also gain a special mask, which you often wear when using the features of this subclass. You determine its appearance, or generate it randomly by rolling on the Merciful Mask table.

d6
Mask Appearance


1
Raven


2
Blank and white


3
Crying visage


4
Laughing visage


5
Skull


6
Butterfly

",miséricorde,Les instruments de la miséricorde,"3e niveau de la Voie de la Miséricorde
Vous maîtrisez les compétences de Perspicacité et de Médecine, ainsi que le kit d'herboristerie. Vous gagnez également un masque spécial, que vous portez souvent lorsque vous utilisez les capacités de cette sous-classe. Vous déterminez son apparence ou le générez aléatoirement en lançant un dé sur la table des masques miséricordieux.

d6
Apparence du masque

1
Corbeau

2
Vierge et blanc

3
Visage en pleurs

4
Visage riant

5
Crâne

6
Papillon",3.0
1,mercy,Hand of Healing,"3rd-level Way of Mercy feature
Your mystical touch can mend wounds. As an action, you can spend 1 ki point to touch a creature and restore a number of hit points equal to a roll of your Martial Arts die + your Wisdom modifier.When you use your Flurry of Blows, you can replace one of the unarmed strikes with a use of this feature without spending a ki point for the healing.",miséricorde,Main de guérison,"3e niveau de la capacité Voie de la Miséricorde
Votre toucher mystique peut soigner les blessures. En tant qu'action, vous pouvez dépenser 1 point de ki pour toucher une créature et restaurer un nombre de points de vie égal au résultat du jet de votre dé d'arts martiaux + votre modificateur de Sagesse.Lorsque vous utilisez votre Déluge de coups, vous pouvez remplacer l'une des frappes à mains nues par une utilisation de cette capacité sans dépenser de point de ki pour la guérison.",3.0
2,mercy,Hand of Harm,"3rd-level Way of Mercy feature
You use your ki to inflict wounds. When you hit a creature with an unarmed strike, you can spend 1 ki point to deal extra necrotic damage equal to one roll of your Martial Arts die + your Wisdom modifier. You can use this feature only once per turn.",miséricorde,Main du Mal,"3e niveau de la capacité Voie de la Miséricorde
Vous utilisez votre ki pour infliger des blessures. Lorsque vous frappez une créature avec une attaque à mains nues, vous pouvez dépenser 1 point de ki pour infliger des dégâts nécrotiques supplémentaires égaux à un jet de votre dé d'Arts martiaux + votre modificateur de Sagesse. Vous ne pouvez utiliser cette capacité qu'une seule fois par tour.",3.0
3,mercy,Physician's Touch,"6th-level Way of Mercy feature
You can administer even greater cures with a touch, and if you feel it's necessary, you can use your knowledge to cause harm.When you use Hand of Healing on a creature, you can also end one disease or one of the following conditions affecting the creature: blinded, deafened, paralyzed, poisoned, or stunned.When you use Hand of Harm on a creature, you can subject that creature to the poisoned condition until the end of your next turn.",miséricorde,La touche du médecin,"Fonctionnalité de la Voie de la Miséricorde de niveau 6
Vous pouvez administrer des soins encore plus puissants d'un simple toucher, et si vous le jugez nécessaire, vous pouvez utiliser vos connaissances pour causer du tort.Lorsque vous utilisez Main de guérison sur une créature, vous pouvez également mettre fin à une maladie ou à l'une des conditions suivantes affectant la créature : aveuglé, assourdi, paralysé, empoisonné ou étourdi.Lorsque vous utilisez Main de mal sur une créature, vous pouvez soumettre cette créature à l'état empoisonné jusqu'à la fin de votre prochain tour.",6.0
4,mercy,Flurry of Healing and Harm,"11th-level Way of Mercy feature
You can now mete out a flurry of comfort and hurt. When you use Flurry of Blows, you can now replace each of the unarmed strikes with a use of your Hand of Healing, without spending ki points for the healing.In addition, when you make an unarmed strike with Flurry of Blows, you can use Hand of Harm with that strike without spending the ki point for Hand of Harm. You can still use Hand of Harm only once per turn.",miséricorde,Une vague de guérison et de mal,"11e niveau - Capacité de la Voie de la Miséricorde
Vous pouvez désormais infliger une rafale de réconfort et de souffrance. Lorsque vous utilisez Rafale de coups, vous pouvez désormais remplacer chacune des frappes à mains nues par une utilisation de votre Main de soin, sans dépenser de points de ki pour le soin. De plus, lorsque vous effectuez une frappe à mains nues avec Rafale de coups, vous pouvez utiliser Main de mal avec cette frappe sans dépenser de points de ki pour Main de mal. Vous ne pouvez toujours utiliser Main de mal qu'une seule fois par tour.",11.0
5,mercy,Hand of Mercy,"17th-level Way of Mercy feature
Your mastery of life energy opens the door to the ultimate mercy. As an action, you can touch the corpse of a creature that died within the past 24 hours and expend 5 ki points. The creature then returns to life, regaining a number of hit points equal to 4d10 + your Wisdom modifier. If the creature died while subject to any of the following conditions, it revives with them removed: blinded, deafened, paralyzed, poisoned, and stunned.Once you use this feature, you can't use it again until you finish a long rest.Source: Tasha's Cauldron of Everything",miséricorde,Main de miséricorde,"17e niveau - Voie de la Miséricorde
Votre maîtrise de l'énergie vitale vous ouvre la porte de la miséricorde ultime. Par une action, vous pouvez toucher le cadavre d'une créature morte au cours des dernières 24 heures et dépenser 5 points de ki. La créature revient alors à la vie, récupérant un nombre de points de vie égal à 4d10 + votre modificateur de Sagesse. Si la créature est morte alors qu'elle était soumise à l'une des conditions suivantes, elle ressuscite sans ces conditions : aveuglement, assourdissement, paralysie, empoisonnement et étourdissement. Une fois que vous avez utilisé cette capacité, vous ne pouvez plus l'utiliser avant d'avoir terminé un repos long.Source : Le chaudron de tout de Tasha",17.0
6,ascendant-dragon,Ascendant Dragon Origin,"

d6
Origin


1
You honed your abilities by aligning your spirit with a dragon's world-altering power.


2
A dragon personally took an active role in shaping your inner energy.


3
You studied at a monastery that traces its teachings back centuries or more to a single dragon's instruction, or one that is devoted to a dragon god.


4
You spent long stretches meditating in the region around an ancient dragon's lair, absorbing that lair's ambient magic.


5
You found a scroll written in Draconic that contained inspiring new techniques.


6
After a dream featuring a five-handed dragonborn, you awoke with the mystical breath of dragons.

",dragon ascendant,Origine du Dragon Ascendant,"d6
Origine

1
Vous avez perfectionné vos capacités en alignant votre esprit sur le pouvoir de changement du monde d'un dragon.

2
Un dragon a personnellement joué un rôle actif dans la formation de votre énergie intérieure.

3
Vous avez étudié dans un monastère dont les enseignements remontent à des siècles ou plus jusqu'aux instructions d'un seul dragon, ou dans un monastère consacré à un dieu dragon.

4
Vous avez passé de longues périodes à méditer dans la région autour de l'antre d'un ancien dragon, absorbant la magie ambiante de cet antre.

5
Vous avez trouvé un parchemin écrit en draconique qui contenait de nouvelles techniques inspirantes.

6
Après un rêve mettant en scène un dragonné à cinq mains, vous vous êtes réveillé avec le souffle mystique des dragons.",
7,ascendant-dragon,Draconic Disciple,"3rd-level Way of the Ascendant Dragon feature
You can channel draconic power to magnify your presence and imbue your unarmed strikes with the essence of a dragon's breath. You gain the following benefits:Draconic Presence. If you fail a Charisma (Intimidation) or Charisma (Persuasion) check, you can use your reaction to reroll the check, as you tap into the mighty presence of dragons. Once this feature turns a failure into a success, you can't use it again until you finish a long rest.Draconic Strike. When you damage a target with an unarmed strike, you can change the damage type to acid, cold, fire, lightning, or poison.Tongue of Dragons. You learn to speak, read, and write Draconic or one other language of your choice.",dragon ascendant,Disciple draconique,"3e niveau de la capacité Voie du Dragon Ascendant
Vous pouvez canaliser le pouvoir draconique pour amplifier votre présence et imprégner vos frappes à mains nues de l'essence du souffle d'un dragon. Vous obtenez les avantages suivants :Présence draconique. Si vous échouez à un test de Charisme (Intimidation) ou de Charisme (Persuasion), vous pouvez utiliser votre réaction pour relancer le test, tout en puisant dans la puissante présence des dragons. Une fois que cette capacité transforme un échec en succès, vous ne pouvez plus l'utiliser avant d'avoir terminé un repos long.Frappe draconique. Lorsque vous blessez une cible avec une frappe à mains nues, vous pouvez changer le type de dégâts en acide, froid, feu, foudre ou poison.Langue des dragons. Vous apprenez à parler, lire et écrire le draconique ou une autre langue de votre choix.",3.0
8,ascendant-dragon,Breath of the Dragon,"3rd-level Way of the Ascendant Dragon feature
You can channel destructive waves of energy, like those created by the dragons you emulate. When you take the Attack action on your turn, you can replace one of the attacks with an exhalation of draconic energy in either a 20-foot cone or a 30-foot line that is 5 feet wide (your choice). Choose a damage type: acid, cold, fire, lightning, or poison. Each creature in that area must make a Dexterity saving throw against your ki save DC, taking damage of the chosen type equal to two rolls of your Martial Arts die on a failed save, or half as much damage on a successful one.At 11th level, the damage of this feature increases to three rolls of your Martial Arts die.You can use this feature a number of times equal to your proficiency bonus, and you regain all expended uses when you finish a long rest. While you have no uses available, you can spend 2 ki points to use this feature again.",dragon ascendant,Souffle du dragon,"Niveau 3 - Voie du Dragon Ascendant - Capacité à canaliser des vagues d'énergie destructrices, comme celles créées par les dragons que vous imitez. Lorsque vous effectuez l'action Attaquer pendant votre tour, vous pouvez remplacer l'une des attaques par une expiration d'énergie draconique dans un cône de 6 mètres ou une ligne de 9 mètres de large de 1,5 mètre (au choix). Choisissez un type de dégâts : acide, froid, feu, foudre ou poison. Chaque créature dans cette zone doit effectuer un jet de sauvegarde de Dextérité contre votre DD de sauvegarde de ki, subissant des dégâts du type choisi égaux à deux jets de votre dé d'Arts Martiaux en cas d'échec, ou la moitié de ces dégâts en cas de réussite. Au niveau 11, les dégâts de cette capacité augmentent à trois jets de votre dé d'Arts Martiaux. Vous pouvez utiliser cette capacité un nombre de fois égal à votre bonus de maîtrise, et vous récupérez toutes les utilisations dépensées lorsque vous terminez un repos long. Tant que vous n'avez plus d'utilisations disponibles, vous pouvez dépenser 2 points de ki pour utiliser à nouveau cette capacité.",3.0
9,ascendant-dragon,Wings Unfurled,"6th-level Way of the Ascendant Dragon feature
When you use your Step of the Wind, you can unfurl spectral draconic wings from your back that vanish at the end of your turn. While the wings exist, you have a flying speed equal to your walking speed.You can use this feature a number of times equal to your proficiency bonus, and you regain all expended uses when you finish a long rest.",dragon ascendant,Ailes déployées,"6e niveau - Capacité de la Voie du Dragon Ascendant
Lorsque vous utilisez votre Pas du Vent, vous pouvez déployer des ailes draconiques spectrales dans votre dos qui disparaissent à la fin de votre tour. Tant que les ailes existent, votre vitesse de vol est égale à votre vitesse de marche. Vous pouvez utiliser cette capacité un nombre de fois égal à votre bonus de maîtrise, et vous récupérez toutes les utilisations dépensées lorsque vous terminez un repos long.",6.0
