,subclass,ability,content,subclass_FR,contability_FR,content_FR,levels
0,ancients,Tenets of the Ancients,"The tenets of the Oath of the Ancients have been preserved for uncounted centuries. This oath emphasizes the principles of good above any concerns of law or chaos. Its four central principles are simple.Kindle the Light
Through your acts of mercy, kindness, and forgiveness, kindle the light of hope in the world, beating back despair.Shelter the Light
Where there is good, beauty, love, and laughter in the world, stand against the wickedness that would swallow it. Where life flourishes, stand against the forces that would render it barren.Preserve Your Own Light
Delight in song and laughter, in beauty and art. If you allow the light to die in your own heart, you can't preserve it in the world.Be the Light
Be a glorious beacon for all who live in despair. Let the light of your joy and courage shine forth in all your deeds.",Anciens,Les principes des anciens,"Les principes du Serment des Anciens ont été préservés pendant d'innombrables siècles. Ce serment met l'accent sur les principes du bien au-dessus de toute préoccupation de loi ou de chaos. Ses quatre principes centraux sont simples. Allumez la lumière
Par vos actes de miséricorde, de gentillesse et de pardon, allumez la lumière de l'espoir dans le monde, repoussant le désespoir. Protégez la lumière
Là où il y a du bien, de la beauté, de l'amour et du rire dans le monde, tenez-vous debout contre la méchanceté qui voudrait l'engloutir. Là où la vie s'épanouit, tenez-vous debout contre les forces qui voudraient la rendre stérile. Préservez votre propre lumière
Profitez du chant et du rire, de la beauté et de l'art. Si vous permettez à la lumière de mourir dans votre propre cœur, vous ne pouvez pas la préserver dans le monde. Soyez la lumière
Soyez un phare glorieux pour tous ceux qui vivent dans le désespoir. Que la lumière de votre joie et de votre courage brille dans toutes vos actions.",
1,ancients,Oath Spells,"You gain oath spells at the paladin levels listed.

Paladin Level
Spells


3rd
Ensnaring Strike, Speak with Animals


5th
Moonbeam, Misty Step


9th
Plant Growth, Protection from Energy


13th
Ice Storm, Stoneskin


17th
Commune with Nature, Tree Stride

",Anciens,Sorts de serment,"Vous obtenez des sorts de serment aux niveaux de paladin indiqués.

Niveau de paladin
Sorts

3e
Frappe ensorcelante, Parler aux animaux

5e
Rayon de lune, Pas brumeux

9e
Croissance des plantes, Protection contre l'énergie

13e
Tempête de glace, Peau de pierre

17e
Communiquer avec la nature, Enjambée des arbres",3.0
2,ancients,Channel Divinity,"When you take this oath at 3rd level, you gain the following two Channel Divinity options.Nature's Wrath
You can use your Channel Divinity to invoke primeval forces to ensnare a foe. As an action, you can cause spectral vines to spring up and reach for a creature within 10 feet of you that you can see. The creature must succeed on a Strength or Dexterity saving throw (its choice) or be restrained. While restrained by the vines, the creature repeats the saving throw at the end of each of its turns. On a success, it frees itself and the vines vanish.Turn the Faithless
You can use your Channel Divinity to utter ancient words that are painful for fey and fiends to hear. As an action, you present your holy symbol, and each fey or fiend within 30 feet of you that can hear you must make a Wisdom saving throw. On a failed save, the creature is turned for 1 minute or until it takes damage.A turned creature must spend its turns trying to move as far away from you as it can, and it can't willingly move to a space within 30 feet of you. It also can't take reactions. For its action, it can use only the Dash action or try to escape from an effect that prevents it from moving. If there's nowhere to move, the creature can use the Dodge action.If the creature's true form is concealed by an illusion, shapeshifting, or other effect, that form is revealed while it is turned.",Anciens,Canaliser la divinité,"Lorsque vous prêtez ce serment au niveau 3, vous bénéficiez des deux options de canalisation de la divinité suivantes. Colère de la nature
Vous pouvez utiliser votre canalisation de la divinité pour invoquer des forces primitives afin de piéger un ennemi. Par une action, vous pouvez faire surgir des vignes spectrales et les faire s'abattre sur une créature à 3 mètres ou moins de vous que vous pouvez voir. La créature doit réussir un jet de sauvegarde de Force ou de Dextérité (au choix) ou être entravée. Tant qu'elle est entravée par les vignes, la créature répète le jet de sauvegarde à la fin de chacun de ses tours. En cas de réussite, elle se libère et les vignes disparaissent. Rejeter les infidèles
Vous pouvez utiliser votre canalisation de la divinité pour prononcer des mots anciens qui sont douloureux à entendre pour les fées et les fiélons. Par une action, vous présentez votre symbole sacré et chaque fée ou fiélon à 9 mètres ou moins de vous qui peut vous entendre doit effectuer un jet de sauvegarde de Sagesse. En cas d'échec, la créature est retournée pendant 1 minute ou jusqu'à ce qu'elle subisse des dégâts. Une créature retournée doit passer ses tours à essayer de s'éloigner le plus possible de vous et ne peut pas volontairement se déplacer vers une case à moins de 9 mètres de vous. Elle ne peut pas non plus réagir. Pour son action, elle ne peut utiliser que l'action Flèche ou essayer d'échapper à un effet qui l'empêche de se déplacer. Si elle n'a nulle part où aller, la créature peut utiliser l'action Esquive. Si la véritable forme de la créature est masquée par une illusion, un changement de forme ou un autre effet, cette forme est révélée pendant qu'elle est retournée.",3.0
3,ancients,Aura of Warding,"Beginning at 7th level, ancient magic lies so heavily upon you that it forms an eldritch ward. You and friendly creatures within 10 feet of you have resistance to damage from spells.At 18th level, the range of this aura increases to 30 feet.",Anciens,Aura de protection,"À partir du niveau 7, la magie ancienne pèse tellement lourd sur vous qu'elle forme une protection surnaturelle. Vous et les créatures alliées situées à 3 mètres de vous bénéficiez d'une résistance aux dégâts des sorts. Au niveau 18, la portée de cette aura passe à 9 mètres.",7.0
4,ancients,Undying Sentinel,"Starting at 15th level, when you are reduced to 0 hit points and are not killed outright, you can choose to drop to 1 hit point instead. Once you use this ability, you can't use it again until you finish a long rest.Additionally, you suffer none of the drawbacks of old age, and you can't be aged magically.",Anciens,Sentinelle immortelle,"À partir du niveau 15, lorsque vous êtes réduit à 0 point de vie et que vous n'êtes pas tué sur le coup, vous pouvez choisir de tomber à 1 point de vie à la place. Une fois que vous avez utilisé cette capacité, vous ne pouvez plus l'utiliser avant d'avoir terminé un repos long. De plus, vous ne souffrez d'aucun des inconvénients de la vieillesse et vous ne pouvez pas vieillir par magie.",15.0
5,ancients,Elder Champion,"At 20th level, you can assume the form of an ancient force of nature, taking on an appearance you choose. For example, your skin might turn green or take on a bark-like texture, your hair might become leafy or moss-like, or you might sprout antlers or a lion-like mane.Using your action, you undergo a transformation. For 1 minute, you gain the following benefits:
At the start of each of your turns, you regain 10 hit points.

Whenever you cast a paladin spell that has a casting time of 1 action, you can cast it using a bonus action instead.

Enemy creatures within 10 feet of you have disadvantage on saving throws against your paladin spells and Channel Divinity options.
Once you use this feature, you can't use it again until you finish a long rest.Source: Player's Handbook",Anciens,Champion aîné,"Au niveau 20, vous pouvez prendre la forme d'une force ancienne de la nature et adopter l'apparence de votre choix. Par exemple, votre peau peut devenir verte ou prendre une texture semblable à celle de l'écorce, vos cheveux peuvent devenir feuillus ou moussus, ou vous pouvez voir pousser des bois ou une crinière semblable à celle d'un lion. En utilisant votre action, vous subissez une transformation. Pendant 1 minute, vous obtenez les avantages suivants :
Au début de chacun de vos tours, vous regagnez 10 points de vie.

Chaque fois que vous lancez un sort de paladin dont le temps d'incantation est d'une action, vous pouvez le lancer en utilisant une action bonus à la place.

Les créatures ennemies à moins de 3 mètres de vous ont un désavantage aux jets de sauvegarde contre vos sorts de paladin et les options Canalisation de la divinité.
Une fois que vous avez utilisé cette capacité, vous ne pouvez plus l'utiliser avant d'avoir terminé un repos long.Source : Manuel du joueur",20.0
6,conquest,Tenets of Conquest,"A paladin who takes this oath has the tenets of conquest seared on the upper arm.Douse the Flame of Hope
It is not enough to merely defeat an enemy in battle. Your victory must be so overwhelming that your enemies’ will to fight is shattered forever. A blade can end a life. Fear can end an empire.Rule with an Iron Fist
Once you have conquered, tolerate no dissent. Your word is law. Those who obey it shall be favored. Those who defy it shall be punished as an example to all who might follow.Strength Above All
You shall rule until a stronger one arises. Then you must grow mightier and meet the challenge, or fall to your own ruin.",conquête,Les principes de la conquête,"Un paladin qui prête ce serment a les principes de la conquête gravés sur le bras. Éteignez la flamme de l'espoir
Il ne suffit pas de vaincre un ennemi au combat. Votre victoire doit être si écrasante que la volonté de vos ennemis de se battre est brisée à jamais. Une lame peut mettre fin à une vie. La peur peut mettre fin à un empire. Dirigez avec une main de fer
Une fois que vous avez conquis, ne tolérez aucune dissidence. Votre parole fait loi. Ceux qui l'obéissent seront favorisés. Ceux qui la défient seront punis comme un exemple pour tous ceux qui pourraient suivre. La force avant tout
Vous gouvernerez jusqu'à ce qu'un plus fort apparaisse. Ensuite, vous devrez devenir plus puissant et relever le défi, ou tomber dans votre propre ruine.",
7,conquest,Oath Spells,"You gain oath spells at the paladin levels listed.

Paladin Level
Spells


3rd
Armor of Agathys, Command


5th
Hold Person, Spiritual Weapon


9th
Bestow Curse, Fear


13th
Dominate Beast, Stoneskin


17th
Cloudkill, Dominate Person

",conquête,Sorts de serment,"Vous obtenez des sorts de serment aux niveaux de paladin indiqués.

Niveau de paladin
Sorts

3e
Armure d'Agathys, Commandement

5e
Emprise sur la personne, Arme spirituelle

9e
Maudire, Peur

13e
Dominer la bête, Peau de pierre

17e
Tuer les nuages, Dominer la personne",3.0
8,conquest,Channel Divinity,"When you take this oath at 3rd level, you gain the following two Channel Divinity options.Conquering Presence
You can use your Channel Divinity to exude a terrifying presence. As an action, you force each creature of your choice that you can see within 30 feet of you to make a Wisdom saving throw. On a failed save, a creature becomes frightened of you for 1 minute. The frightened creature can repeat this saving throw at the end of each of its turns, ending the effect on itself on a success.Guided Strike
You can use your Channel Divinity to strike with supernatural accuracy. When you make an attack roll, you can use your Channel Divinity to gain a +10 bonus to the roll. You make this choice after you see the roll, but before the DM says whether the attack hits or misses.",conquête,Canaliser la divinité,"Lorsque vous prêtez ce serment au niveau 3, vous obtenez les deux options de canalisation de la divinité suivantes.Présence conquérante
Vous pouvez utiliser votre canalisation de la divinité pour dégager une présence terrifiante. Par une action, vous obligez chaque créature de votre choix que vous pouvez voir à 9 mètres ou moins de vous à effectuer un jet de sauvegarde de Sagesse. En cas d'échec, une créature a peur de vous pendant 1 minute. La créature effrayée peut répéter ce jet de sauvegarde à la fin de chacun de ses tours, mettant fin à l'effet sur elle-même en cas de réussite.Frappe guidée
Vous pouvez utiliser votre canalisation de la divinité pour frapper avec une précision surnaturelle. Lorsque vous effectuez un jet d'attaque, vous pouvez utiliser votre canalisation de la divinité pour obtenir un bonus de +10 au jet. Vous faites ce choix après avoir vu le jet, mais avant que le MD ne dise si l'attaque touche ou rate.",3.0
9,conquest,Aura of Conquest,"Starting at 7th level, you constantly emanate a menacing aura while you’re not incapacitated. The aura extends 10 feet from you in every direction, but not through total cover.If a creature is frightened of you, its speed is reduced to 0 while in the aura, and that creature takes psychic damage equal to half your paladin level if it starts its turn there.At 18th level, the range of this aura increases to 30 feet.",conquête,Aura de conquête,"À partir du niveau 7, vous émettez constamment une aura menaçante lorsque vous n'êtes pas neutralisé. L'aura s'étend à 3 mètres de vous dans toutes les directions, mais pas à travers un abri total. Si une créature a peur de vous, sa vitesse est réduite à 0 tant qu'elle est dans l'aura, et cette créature subit des dégâts psychiques égaux à la moitié de votre niveau de paladin si elle commence son tour dans cette zone. Au niveau 18, la portée de cette aura augmente à 9 mètres.",7.0
