,subclass,ability,content,subclass_FR,contability_FR,content_FR,levels
0,beast-master,Ranger's Companion,"At 3rd level, you gain a beast companion that accompanies you on your adventures and is trained to fight alongside you. Choose a beast that is no larger than Medium and that has a challenge rating of 1/4 or lower (appendix D presents statistics for the Hawk, Mastiff, and Panther as examples). Add your proficiency bonus to the beast's AC, attack rolls, and damage rolls, as well as to any saving throws and skills it is proficient in. Its hit point maximum equals the hit point number in its stat block or four times your ranger level, whichever is higher. Like any creature, it can spend Hit Dice during a short rest to regain hit points.The beast obeys your commands as best as it can. It takes its turn on your initiative. On your turn, you can verbally command the beast where to move (no action required by you). You can use your action to verbally command it to take the Attack, Dash, Disengage, or Help action. Once you have the Extra Attack feature, you can make one weapon attack yourself when you command the beast to take the Attack action. If you don't issue a command, the beast takes the Dodge action.If you are incapacitated or absent, the beast acts on its own, focusing on protecting you and itself. The beast never requires your command to use its reaction, such as when making an opportunity attack.While traveling through your favored terrain with only the beast, you can move stealthily at a normal pace.If the beast dies, you can obtain a new companion by spending 8 hours magically bonding with a beast that isn't hostile to you and that meets the requirements.",maître des bêtes,Compagnon du Ranger,"Au niveau 3, vous obtenez un compagnon animal qui vous accompagne dans vos aventures et qui est entraîné à combattre à vos côtés. Choisissez une bête qui n'est pas plus grande que M et qui a un indice de défi de 1/4 ou moins (l'annexe D présente les statistiques du Faucon, du Mastiff et de la Panthère à titre d'exemple). Ajoutez votre bonus de maîtrise à la CA de la bête, à ses jets d'attaque et de dégâts, ainsi qu'à tous les jets de sauvegarde et compétences qu'elle maîtrise. Son maximum de points de vie est égal au nombre de points de vie indiqué dans son bloc de statistiques ou à quatre fois votre niveau de rôdeur, selon le plus élevé des deux. Comme toute créature, elle peut dépenser des dés de vie pendant un court repos pour regagner des points de vie. La bête obéit à vos ordres du mieux qu'elle peut. Elle prend son tour à votre initiative. À votre tour, vous pouvez lui ordonner verbalement où se déplacer (aucune action requise de votre part). Vous pouvez utiliser votre action pour lui ordonner verbalement d'effectuer l'action Attaquer, Courir, Se désengager ou Aider. Une fois que vous avez la fonction Attaque supplémentaire, vous pouvez faire en sorte qu'une arme vous attaque lorsque vous ordonnez à la bête d'effectuer l'action Attaque. Si vous ne donnez pas d'ordre, la bête effectue l'action Esquive. Si vous êtes incapable ou absent, la bête agit d'elle-même, se concentrant sur votre protection et sur elle-même. La bête n'a jamais besoin de votre ordre pour utiliser sa réaction, comme lorsqu'elle effectue une attaque d'opportunité. Lorsque vous voyagez sur votre terrain préféré avec seulement la bête, vous pouvez vous déplacer furtivement à un rythme normal. Si la bête meurt, vous pouvez obtenir un nouveau compagnon en passant 8 heures à vous lier magiquement à une bête qui ne vous est pas hostile et qui répond aux exigences.",3.0
1,beast-master,Primal Companion,"3rd-level Beast Master feature, which replaces the Ranger's Companion feature
Optional Class Feature
You magically summon a primal beast, which draws strength from your bond with nature. The beast is friendly to you and your companions and obeys your commands. Choose its stat block-Beast of the Land, Beast of the Sea, or Beast of the Sky-which uses your proficiency bonus (PB) in several places. You also determine the kind of animal the beast is, choosing a kind appropriate for the stat block. Whatever kind you choose, the beast bears primal markings, indicating its mystical origin.In combat, the beast acts during your turn. It can move and use its reaction on its own, but the only action it takes is the Dodge action, unless you take a bonus action on your turn to command it to take another action. That action can be one in its stat block or some other action. You can also sacrifice one of your attacks when you take the Attack action to command the beast to take the Attack action. If you are incapacitated, the beast can take any action of its choice, not just Dodge.If the beast has died within the last hour, you can use your action to touch it and expend a spell slot of 1st level or higher. The beast returns to life after 1 minute with all its hit points restored.When you finish a long rest, you can summon a different primal beast. The new beast appears in an unoccupied space within 5 feet of you, and you choose its stat block and appearance. If you already have a beast from this feature, it vanishes when the new beast appears. The beast also vanishes if you die.",maître des bêtes,Compagnon primordial,"Fonctionnalité Maître des bêtes de niveau 3, qui remplace la fonctionnalité Compagnon du Ranger
Fonctionnalité de classe optionnelle
Vous invoquez par magie une bête primitive, qui tire sa force de votre lien avec la nature. La bête est amicale envers vous et vos compagnons et obéit à vos ordres. Choisissez son bloc de statistiques - Bête de la terre, Bête de la mer ou Bête du ciel - qui utilise votre bonus de maîtrise (PB) à plusieurs endroits. Vous déterminez également le type d'animal de la bête, en choisissant un type approprié au bloc de statistiques. Quel que soit le type que vous choisissez, la bête porte des marques primitives, indiquant son origine mystique. En combat, la bête agit pendant votre tour. Elle peut se déplacer et utiliser sa réaction par elle-même, mais la seule action qu'elle effectue est l'action Esquive, à moins que vous n'effectuiez une action bonus pendant votre tour pour lui ordonner d'effectuer une autre action. Cette action peut être une action de son bloc de statistiques ou une autre action. Vous pouvez également sacrifier l'une de vos attaques lorsque vous effectuez l'action Attaquer pour ordonner à la bête d'effectuer l'action Attaquer. Si vous êtes dans l'incapacité d'invoquer la bête, celle-ci peut entreprendre toute action de son choix, pas seulement Esquiver. Si la bête est morte au cours de la dernière heure, vous pouvez utiliser votre action pour la toucher et dépenser un emplacement de sort de niveau 1 ou supérieur. La bête revient à la vie après 1 minute avec tous ses points de vie restaurés. Lorsque vous terminez un repos long, vous pouvez invoquer une autre bête primitive. La nouvelle bête apparaît dans un espace inoccupé à moins de 1,50 mètre de vous, et vous choisissez son bloc de statistiques et son apparence. Si vous possédez déjà une bête grâce à cette fonctionnalité, elle disparaît lorsque la nouvelle bête apparaît. La bête disparaît également si vous mourez.",3.0
2,beast-master,Exceptional Training,"Beginning at 7th level, on any of your turns when your beast companion doesn't attack, you can use a bonus action to command the beast to take the Dash, Disengage, Dodge, or Help action on its turn.In addition, the beast's attacks now count as magical for the purpose of overcoming resistance and immunity to nonmagical attacks and damage.",maître des bêtes,Formation exceptionnelle,"À partir du niveau 7, à n'importe lequel de vos tours où votre compagnon animal n'attaque pas, vous pouvez utiliser une action bonus pour ordonner à la bête d'effectuer l'action Courir, Se désengager, Esquiver ou Aider à son tour. De plus, les attaques de la bête comptent désormais comme magiques pour surmonter la résistance et l'immunité aux attaques et dégâts non magiques.",7.0
3,beast-master,Bestial Fury,"Starting at 11th level, when you command your beast companion to take the Attack action, the beast can make two attacks, or it can take the Multiattack action if it has that action.",maître des bêtes,Fureur bestiale,"À partir du niveau 11, lorsque vous ordonnez à votre compagnon bête d'effectuer l'action Attaquer, la bête peut effectuer deux attaques ou effectuer l'action Multi-attaque si elle dispose de cette action.",11.0
4,beast-master,Share Spells,"Beginning at 15th level, when you cast a spell targeting yourself, you can also affect your beast companion with the spell if the beast is within 30 feet of you.Source: Player's Handbook, Tasha's Cauldron of Everything",maître des bêtes,Partager des sorts,"À partir du niveau 15, lorsque vous lancez un sort vous ciblant, vous pouvez également affecter votre compagnon animal avec le sort si la bête se trouve à moins de 9 mètres de vous. Source : Manuel du joueur, Le chaudron de tout de Tasha",15.0
5,drakewarden,Drakewarden Origin,"

d6
Origin


1
You studied a dragon's scale or claw, or a trinket from a dragon's hoard, creating your bond through that token's lingering draconic magic.


2
A secret order of rangers who collect and guard draconic lore taught you their ways.


3
A dragon gave you a geode or gemstone to care for. To your surprise, the drake hatched from that stone.


4
You ingested a few drops of dragon blood, forever infusing your nature magic with draconic power.


5
An ancient Draconic inscription on a standing stone empowered you when you read it aloud.


6
You had a vivid dream of a mysterious figure accompanied by seven yellow canaries, who warned you of impending doom. When you awoke, your drake was there, watching you.

",gardien du drake,Origine des Gardiens du Drake,"d6
Origine

1
Vous avez étudié une écaille ou une griffe de dragon, ou un bijou du trésor d'un dragon, créant votre lien grâce à la magie draconique persistante de ce jeton.

2
Un ordre secret de rangers qui collecte et protège les traditions draconiques vous a enseigné leurs méthodes.

3
Un dragon vous a donné une géode ou une pierre précieuse à entretenir. À votre grande surprise, le drake est né de cette pierre.

4
Vous avez ingéré quelques gouttes de sang de dragon, imprégnant à jamais votre magie naturelle de puissance draconique.

5
Une ancienne inscription draconique sur une pierre dressée vous a donné du pouvoir lorsque vous l'avez lue à voix haute.

6
Vous avez fait un rêve saisissant d'une mystérieuse silhouette accompagnée de sept canaris jaunes, qui vous ont averti d'un malheur imminent. Lorsque vous vous êtes réveillé, votre drake était là, vous observant.",
6,drakewarden,Draconic Gift,"3rd-level Drakewarden feature
The bond you share with your drake creates a connection to dragonkind, granting you understanding and empowering your presence. You gain the following benefits:Thaumaturgy
You learn the Thaumaturgy cantrip, which is a ranger spell for you.Tongue of Dragons
You learn to speak, read, and write Draconic or one other language of your choice.",gardien du drake,Cadeau draconique,"Fonctionnalité de Gardien de drake de niveau 3
Le lien que vous partagez avec votre drake crée une connexion avec les dragons, vous accordant la compréhension et renforçant votre présence. Vous obtenez les avantages suivants :Thaumaturgie
Vous apprenez le sort de rôdeur Thaumaturgie, qui est un sort de rôdeur pour vous.Langue des dragons
Vous apprenez à parler, lire et écrire le draconique ou une autre langue de votre choix.",3.0
7,drakewarden,Drake Companion,"3rd-level Drakewarden feature
As an action, you can magically summon the drake that is bound to you. It appears in an unoccupied space of your choice within 30 feet of you.The drake is friendly to you and your companions, and it obeys your commands. See its game statistics in the accompanying Drake Companion stat block, which uses your proficiency bonus (PB) in several places. Whenever you summon the drake, choose a damage type listed in its Draconic Essence trait. You can determine the cosmetic characteristics of the drake, such as its color, its scale texture, or any visible effect of its Draconic Essence; your choice has no effect on its game statistics.In combat, the drake shares your initiative count, but it takes its turn immediately after yours. It can move and use its reaction on its own, but the only action it takes on its turn is the Dodge action, unless you take a bonus action on your turn to command it to take another action. That action can be one in its stat block or some other action. If you are incapacitated, the drake can take any action of its choice, not just Dodge.The drake remains until it is reduced to 0 hit points, until you use this feature to summon the drake again, or until you die. Anything the drake was wearing or carrying is left behind when the drake vanishes.Once you summon the drake, you can't do so again until you finish a long rest, unless you expend a spell slot of 1st level or higher to summon it.",gardien du drake,Compagnon de Drake,"En tant qu'action, vous pouvez invoquer par magie le drake qui vous est lié. Il apparaît dans un espace inoccupé de votre choix à moins de 9 mètres de vous. Le drake est amical envers vous et vos compagnons, et il obéit à vos ordres. Consultez ses statistiques de jeu dans le bloc de statistiques Compagnon drake qui l'accompagne, qui utilise votre bonus de maîtrise (PB) à plusieurs endroits. Chaque fois que vous invoquez le drake, choisissez un type de dégâts répertorié dans son trait Essence draconique. Vous pouvez déterminer les caractéristiques esthétiques du drake, telles que sa couleur, sa texture d'écailles ou tout effet visible de son Essence draconique ; votre choix n'a aucun effet sur ses statistiques de jeu. En combat, le drake partage votre nombre d'initiatives, mais il joue son tour immédiatement après le vôtre. Il peut se déplacer et utiliser sa réaction seul, mais la seule action qu'il effectue pendant son tour est l'action Esquive, à moins que vous n'effectuiez une action bonus pendant votre tour pour lui ordonner d'effectuer une autre action. Cette action peut être une action de son bloc de statistiques ou une autre action. Si vous êtes dans l'incapacité d'invoquer le dragon, celui-ci peut entreprendre n'importe quelle action de son choix, pas seulement Esquiver. Le dragon reste sur place jusqu'à ce qu'il soit réduit à 0 point de vie, jusqu'à ce que vous utilisiez cette capacité pour l'invoquer à nouveau, ou jusqu'à ce que vous mourriez. Tout ce que le dragon portait ou transportait est laissé derrière lui lorsque le dragon disparaît. Une fois que vous avez invoqué le dragon, vous ne pouvez plus le faire avant d'avoir terminé un repos long, à moins que vous n'utilisiez un emplacement de sort de niveau 1 ou supérieur pour l'invoquer.",3.0
8,drakewarden,Bond of Fang and Scale,"7th-level Drakewarden feature
The bond you share with your drake intensifies, protecting you and stoking the drake's fury. When you summon your drake, it grows wings on its back and gains a flying speed equal to its walking speed.In addition, while your drake is summoned, you and the drake gain the following benefits:Drake Mount
The drake grows to Medium size. Reflecting your special bond, you can use the drake as a mount if your size is Medium or smaller. While you are riding your drake, it can't use the flying speed of this feature.Magic Fang
The drake's Bite attack deals an extra 1d6 damage of the type chosen for the drake's Draconic Essence.Resistance
You gain resistance to the damage type chosen for the drake's Draconic Essence.",gardien du drake,Lien entre les crocs et les écailles,"7e niveau - Capacité de Gardien de drake
Le lien que vous partagez avec votre drake s'intensifie, vous protégeant et attisant la fureur du drake. Lorsque vous invoquez votre drake, des ailes lui poussent sur le dos et sa vitesse de vol est égale à sa vitesse de marche.De plus, lorsque votre drake est invoqué, vous et le drake bénéficiez des avantages suivants :Monture de drake
Le drake grandit jusqu'à atteindre une taille moyenne. En raison de votre lien spécial, vous pouvez utiliser le drake comme monture si votre taille est moyenne ou inférieure. Lorsque vous chevauchez votre drake, il ne peut pas utiliser la vitesse de vol de cette capacité.Croc magique
L'attaque Morsure du drake inflige 1d6 dégâts supplémentaires du type choisi pour l'Essence draconique du drake.Résistance
Vous gagnez une résistance au type de dégâts choisi pour l'Essence draconique du drake.",7.0
9,drakewarden,Drake's Breath,"11th-level Drakewarden feature
As an action, you can exhale a 30-foot cone of damaging breath or cause your drake to exhale it. Choose acid, cold, fire, lightning, or poison damage (your choice doesn't have to match your drake's Draconic Essence). Each creature in the cone must make a Dexterity saving throw against your spell save DC, taking 8d6 damage on a failed save, or half as much damage on a successful one.This damage increases to 10d6 when you reach 15th level in this class.Once you use this feature, you can't do so again until you finish a long rest, unless you expend a spell slot of 3rd level or higher to use it again.",gardien du drake,Le souffle de Drake,"Aptitude de Gardien de drake de niveau 11
En tant qu'action, vous pouvez expirer un cône de 9 mètres de souffle destructeur ou faire en sorte que votre drake l'exhale. Choisissez des dégâts d'acide, de froid, de feu, de foudre ou de poison (votre choix ne doit pas nécessairement correspondre à l'Essence draconique de votre drake). Chaque créature dans le cône doit réussir un jet de sauvegarde de Dextérité contre le DD de votre sauvegarde contre les sorts, subissant 8d6 dégâts en cas d'échec, ou la moitié de ces dégâts en cas de réussite. Ces dégâts augmentent à 10d6 lorsque vous atteignez le niveau 15 dans cette classe. Une fois que vous avez utilisé cette aptitude, vous ne pouvez plus l'utiliser avant d'avoir terminé un repos long, à moins que vous ne dépensiez un emplacement de sort de niveau 3 ou supérieur pour l'utiliser à nouveau.",11.0
