,subclass,ability,content,subclass_FR,contability_FR,content_FR,levels
0,arcane-trickster,Spellcasting,"When you reach 3rd level, you augment your martial prowess with the ability to cast spells.",escroc mystérieux,Lancer des sorts,"Lorsque vous atteignez le niveau 3, vous augmentez vos prouesses martiales avec la capacité de lancer des sorts.",3.0
1,arcane-trickster,Cantrips,You learn three cantrips: Mage Hand and two other cantrips of your choice from the wizard spell list. You learn another wizard cantrip of your choice at 10th level.,escroc mystérieux,Tours de passe-passe,Vous apprenez trois sorts mineurs : Main du mage et deux autres sorts mineurs de votre choix dans la liste des sorts de magicien. Vous apprenez un autre sort mineur de magicien de votre choix au niveau 10.,10.0
2,arcane-trickster,Spell Slots,"The Arcane Trickster Spellcasting table shows how many spell slots you have to cast your spells of 1st level and higher. To cast one of these spells, you must expend a slot of the spell's level or higher. You regain all expended spell slots when you finish a long rest.For example, if you know the 1st-level spell Charm Person and have a 1st-level and a 2nd-level spell slot available, you can cast Charm Person using either slot.",escroc mystérieux,Emplacements de sorts,"Le tableau de lancement de sorts de l'Arcane Trickster indique le nombre d'emplacements de sorts dont vous disposez pour lancer vos sorts de niveau 1 et plus. Pour lancer l'un de ces sorts, vous devez dépenser un emplacement du niveau du sort ou plus. Vous récupérez tous les emplacements de sorts dépensés lorsque vous terminez un repos long. Par exemple, si vous connaissez le sort de niveau 1 Charme-personne et que vous avez un emplacement de sort de niveau 1 et un emplacement de sort de niveau 2 disponibles, vous pouvez lancer Charme-personne en utilisant l'un ou l'autre des emplacements.",1.0
3,arcane-trickster,Spells Known of 1st Level and Higher,"You know three 1st-level wizard spells of your choice, two of which you must choose from the enchantment and illusion spells on the wizard spell list.The Spells Known column of the Arcane Trickster Spellcasting table shows when you learn more wizard spells of 1st level or higher. Each of these spells must be an enchantment or illusion spell of your choice, and must be of a level for which you have spell slots. For instance, when you reach 7th level in this class, you can learn one new spell of 1st or 2nd level.The spells you learn at 8th, 14th, and 20th level can come from any school of magic.Whenever you gain a level in this class, you can replace one of the wizard spells you know with another spell of your choice from the wizard spell list. The new spell must be of a level for which you have spell slots, and it must be an enchantment or illusion spell, unless you're replacing the spell you gained at 3rd, 8th, 14th, or 20th level from any school of magic.",escroc mystérieux,Sorts connus de niveau 1 et supérieur,"Vous connaissez trois sorts de magicien de niveau 1 de votre choix, dont deux que vous devez choisir parmi les sorts d'enchantement et d'illusion de la liste des sorts de magicien. La colonne Sorts connus du tableau de lancement de sorts du magicien des arcanes indique quand vous apprenez davantage de sorts de magicien de niveau 1 ou supérieur. Chacun de ces sorts doit être un sort d'enchantement ou d'illusion de votre choix, et doit être d'un niveau pour lequel vous avez des emplacements de sort. Par exemple, lorsque vous atteignez le niveau 7 dans cette classe, vous pouvez apprendre un nouveau sort de niveau 1 ou 2. Les sorts que vous apprenez aux niveaux 8, 14 et 20 peuvent provenir de n'importe quelle école de magie. Chaque fois que vous gagnez un niveau dans cette classe, vous pouvez remplacer l'un des sorts de magicien que vous connaissez par un autre sort de votre choix dans la liste des sorts de magicien. Le nouveau sort doit être d'un niveau pour lequel vous disposez d'emplacements de sort, et il doit s'agir d'un sort d'enchantement ou d'illusion, à moins que vous ne remplaciez le sort que vous avez gagné au niveau 3, 8, 14 ou 20 d'une école de magie.",1.0
4,arcane-trickster,Spellcasting Ability,"Intelligence is your spellcasting ability for your wizard spells, since you learn your spells through dedicated study and memorization. You use your Intelligence whenever a spell refers to your spellcasting ability. In addition, you use your Intelligence modifier when setting the saving throw DC for a wizard spell you cast and when making an attack roll with one.Spell save DC = 8 + your proficiency bonus + your Intelligence modifierSpell attack modifier = your proficiency bonus + your Intelligence modifier",escroc mystérieux,Capacité de lancer de sorts,"L'intelligence est votre capacité à lancer des sorts de sorcier, car vous apprenez vos sorts grâce à une étude et une mémorisation assidues. Vous utilisez votre intelligence chaque fois qu'un sort fait référence à votre capacité à lancer des sorts. De plus, vous utilisez votre modificateur d'intelligence lorsque vous définissez le DD du jet de sauvegarde d'un sort de sorcier que vous lancez et lorsque vous effectuez un jet d'attaque avec un sort. DD de sauvegarde des sorts = 8 + votre bonus de maîtrise + votre modificateur d'intelligence Modificateur d'attaque des sorts = votre bonus de maîtrise + votre modificateur d'intelligence",
5,arcane-trickster,Mage Hand Legerdemain,"Starting at 3rd level, when you cast Mage Hand, you can make the spectral hand invisible, and you can perform the following additional tasks with it:
You can stow one object the hand is holding in a container worn or carried by another creature.

You can retrieve an object in a container worn or carried by another creature.

You can use thieves' tools to pick locks and disarm traps at range.
You can perform one of these tasks without being noticed by a creature if you succeed on a Dexterity (Sleight of Hand) check contested by the creature's Wisdom (Perception) check.In addition, you can use the bonus action granted by your Cunning Action to control the hand.",escroc mystérieux,Tour de passe-passe de la main du mage,"À partir du niveau 3, lorsque vous lancez Main du mage, vous pouvez rendre la main spectrale invisible et vous pouvez effectuer les tâches supplémentaires suivantes avec elle :
Vous pouvez ranger un objet que tient la main dans un récipient porté ou transporté par une autre créature.

Vous pouvez récupérer un objet dans un récipient porté ou transporté par une autre créature.

Vous pouvez utiliser les outils de voleur pour crocheter des serrures et désamorcer des pièges à distance.
Vous pouvez effectuer l'une de ces tâches sans vous faire remarquer par une créature si vous réussissez un test de Dextérité (Tour de passe-passe) contesté par le test de Sagesse (Perception) de la créature.De plus, vous pouvez utiliser l'action bonus accordée par votre action de ruse pour contrôler la main.",3.0
6,arcane-trickster,Magical Ambush,"Starting at 9th level, if you are hidden from a creature when you cast a spell on it, the creature has disadvantage on any saving throw it makes against the spell this turn.",escroc mystérieux,Embuscade magique,"À partir du niveau 9, si vous êtes caché d'une créature lorsque vous lancez un sort sur elle, la créature a un désavantage sur tout jet de sauvegarde qu'elle effectue contre le sort ce tour-ci.",9.0
7,arcane-trickster,Versatile Trickster,"At 13th level, you gain the ability to distract targets with your Mage Hand. As a bonus action on your turn, you can designate a creature within 5 feet of the spectral hand created by the spell. Doing so gives you advantage on attack rolls against that creature until the end of the turn.",escroc mystérieux,Trickster polyvalent,"Au niveau 13, vous obtenez la capacité de distraire vos cibles avec votre Main de mage. En tant qu'action bonus lors de votre tour, vous pouvez désigner une créature à 1,50 mètre ou moins de la main spectrale créée par le sort. Cela vous donne un avantage sur les jets d'attaque contre cette créature jusqu'à la fin du tour.",13.0
8,arcane-trickster,Spell Thief,"At 17th level, you gain the ability to magically steal the knowledge of how to cast a spell from another spellcaster.Immediately after a creature casts a spell that targets you or includes you in its area of effect, you can use your reaction to force the creature to make a saving throw with its spellcasting ability modifier. The DC equals your spell save DC. On a failed save, you negate the spell's effect against you, and you steal the knowledge of the spell if it is at least 1st level and of a level you can cast (it doesn't need to be a wizard spell). For the next 8 hours, you know the spell and can cast it using your spell slots. The creature can't cast that spell until the 8 hours have passed.Once you use this feature, you can't use it again until you finish a long rest.Source: Player's Handbook",escroc mystérieux,Voleur de sorts,"Au niveau 17, vous obtenez la capacité de voler par magie les connaissances sur la manière de lancer un sort à un autre lanceur de sorts. Immédiatement après qu'une créature lance un sort qui vous cible ou vous inclut dans sa zone d'effet, vous pouvez utiliser votre réaction pour forcer la créature à effectuer un jet de sauvegarde avec son modificateur de capacité de lancer de sorts. Le DD est égal à votre DD de sauvegarde de sort. En cas d'échec, vous annulez l'effet du sort contre vous et vous volez les connaissances du sort s'il est au moins de niveau 1 et d'un niveau que vous pouvez lancer (il n'est pas nécessaire que ce soit un sort de magicien). Pendant les 8 heures suivantes, vous connaissez le sort et pouvez le lancer en utilisant vos emplacements de sorts. La créature ne peut pas lancer ce sort avant que les 8 heures ne soient passées. Une fois que vous avez utilisé cette fonctionnalité, vous ne pouvez plus l'utiliser avant d'avoir terminé un repos long. Source : Manuel du joueur",17.0
9,assassin,Bonus Proficiencies,"When you choose this archetype at 3rd level, you gain proficiency with the disguise kit and the poisoner's kit.",assassin,Compétences bonus,"Lorsque vous choisissez cet archétype au niveau 3, vous obtenez la maîtrise du kit de déguisement et du kit d'empoisonneur.",3.0
10,assassin,Assassinate,"Starting at 3rd level, you are at your deadliest when you get the drop on your enemies. You have advantage on attack rolls against any creature that hasn't taken a turn in the combat yet. In addition, any hit you score against a creature that is surprised is a critical hit.",assassin,Assassiner,"À partir du niveau 3, vous êtes le plus meurtrier lorsque vous prenez le dessus sur vos ennemis. Vous bénéficiez d'un avantage sur les jets d'attaque contre toute créature qui n'a pas encore participé au combat. De plus, tout coup que vous infligez contre une créature surprise est un coup critique.",3.0
