,subclass,ability,content,subclass_FR,contability_FR,content_FR,levels
0,aberrant-mind,Aberrant Origins,"

d6
Origin


1
You were exposed to the Far Realm's warping influence. You are convinced that a tentacle is now growing on you, but no one else can see it.


2
A psychic wind from the Astral Plane carried psionic energy to you. When you use your powers, faint motes of light sparkle around you.


3
You once suffered the dominating powers of an aboleth, leaving a psychic splinter in your mind.


4
You were implanted with a mind flayer tadpole, but the ceremorphosis never completed. And now its psionic power is yours. When you use it, your flesh shines with a strange mucus.


5
As a child, you had an imaginary friend that looked like a flumph or a strange platypus-like creature. One day, it gifted you with psionic powers, which have ended up being not so imaginary.


6
Your nightmares whisper the truth to you: your psionic powers are not your own. You draw them from your parasitic twin!

",esprit aberrant,Origines aberrantes,"d6
Origine

1
Vous avez été exposé à l'influence déformante du Royaume lointain. Vous êtes convaincu qu'un tentacule pousse maintenant sur vous, mais personne d'autre ne peut le voir.

2
Un vent psychique du Plan Astral vous a apporté de l'énergie psionique. Lorsque vous utilisez vos pouvoirs, de faibles particules de lumière scintillent autour de vous.

3
Vous avez autrefois subi les pouvoirs dominants d'un aboleth, laissant une écharde psychique dans votre esprit.

4
On vous a implanté un têtard flagelleur mental, mais la cérémorphose n'a jamais été achevée. Et maintenant, son pouvoir psionique est le vôtre. Lorsque vous l'utilisez, votre chair brille d'un étrange mucus.

5
Enfant, vous aviez un ami imaginaire qui ressemblait à un flumph ou à une étrange créature ressemblant à un ornithorynque. Un jour, il vous a offert des pouvoirs psioniques, qui n'étaient finalement pas si imaginaires.

6
Vos cauchemars vous murmurent la vérité : vos pouvoirs psioniques ne vous appartiennent pas. Vous les tirez de votre jumeau parasite !",
1,aberrant-mind,Psionic Spells,"1st-level Aberrant Mind feature
You learn additional spells when you reach certain levels in this class, as shown on the Psionic Spells table. Each of these spells counts as a sorcerer spell for you, but it doesn't count against the number of sorcerer spells you know.Whenever you gain a sorcerer level, you can replace one spell you gained from this feature with another spell of the same level. The new spell must be a divination or an enchantment spell from the sorcerer, warlock, or wizard spell list.

Sorcerer Level
Spells


1st
Arms of Hadar, Dissonant Whispers, Mind Sliver


3rd
Calm Emotions, Detect Thoughts


5th
Hunger of Hadar, Sending


7th
Evard's Black Tentacles, Summon Aberration


9th
Rary's Telepathic Bond, Telekinesis

",esprit aberrant,Sorts psioniques,"1er niveau de compétence Esprit aberrant
Vous apprenez des sorts supplémentaires lorsque vous atteignez certains niveaux dans cette classe, comme indiqué dans le tableau des sorts psioniques. Chacun de ces sorts compte comme un sort d'ensorceleur pour vous, mais il n'est pas comptabilisé dans le nombre de sorts d'ensorceleur que vous connaissez. Chaque fois que vous gagnez un niveau d'ensorceleur, vous pouvez remplacer un sort que vous avez gagné grâce à cette compétence par un autre sort du même niveau. Le nouveau sort doit être un sort de divination ou d'enchantement de la liste des sorts d'ensorceleur, de démoniste ou de magicien.

Niveau d'ensorceleur
Sorts

1er
Bras d'Hadar, Murmures dissonants, Éclat mental

3e
Calmer les émotions, Détecter les pensées

5e
Faim d'Hadar, Envoi

7e
Tentacules noires d'Evard, Invocation d'aberration

9e
Lien télépathique de Rary, Télékinésie",1.0
2,aberrant-mind,Telepathic Speech,"1st-level Aberrant Mind feature
You can form a telepathic connection between your mind and the mind of another. As a bonus action, choose one creature you can see within 30 feet of you. You and the chosen creature can speak telepathically with each other while the two of you are within a number of miles of each other equal to your Charisma modifier (minimum of 1 mile). To understand each other, you each must speak mentally in a language the other knows.The telepathic connection lasts for a number of minutes equal to your sorcerer level. It ends early if you are incapacitated or die or if you use this ability to form a connection with a different creature.",esprit aberrant,Discours télépathique,"Capacité Esprit aberrant de niveau 1
Vous pouvez établir une connexion télépathique entre votre esprit et celui d'une autre personne. En tant qu'action bonus, choisissez une créature que vous pouvez voir à 9 mètres ou moins de vous. Vous et la créature choisie pouvez communiquer par télépathie tant que vous êtes à une distance égale à votre modificateur de Charisme (minimum de 1 mile). Pour vous comprendre, vous devez chacun parler mentalement dans une langue que l'autre connaît. La connexion télépathique dure un nombre de minutes égal à votre niveau d'ensorceleur. Elle prend fin prématurément si vous êtes frappé d'incapacité ou mourez ou si vous utilisez cette capacité pour établir une connexion avec une autre créature.",1.0
3,aberrant-mind,Psionic Sorcery,"6th-level Aberrant Mind feature
When you cast any spell of 1st level or higher from your Psionic Spells feature, you can cast it by expending a spell slot as normal or by spending a number of sorcery points equal to the spell's level. If you cast the spell using sorcery points, it requires no verbal or somatic components, and it requires no material components, unless they are consumed by the spell.",esprit aberrant,Sorcellerie psionique,"Esprit aberrant de niveau 6
Lorsque vous lancez un sort de niveau 1 ou supérieur avec votre capacité Sorts psioniques, vous pouvez le lancer en dépensant un emplacement de sort normalement ou en dépensant un nombre de points de sorcellerie égal au niveau du sort. Si vous lancez le sort en utilisant des points de sorcellerie, il ne nécessite aucune composante verbale ou somatique, ni aucune composante matérielle, à moins qu'elles ne soient consommées par le sort.",6.0
4,aberrant-mind,Psychic Defenses,"6th-level Aberrant Mind feature
You gain resistance to psychic damage, and you have advantage on saving throws against being charmed or frightened.",esprit aberrant,Défenses psychiques,"Capacité Esprit aberrant de niveau 6
Vous gagnez une résistance aux dégâts psychiques et vous avez un avantage aux jets de sauvegarde contre le fait d'être charmé ou effrayé.",6.0
5,aberrant-mind,Revelation in Flesh,"14th-level Aberrant Mind feature
You can unleash the aberrant truth hidden within yourself. As a bonus action, you can spend 1 or more sorcery points to magically transform your body for 10 minutes. For each sorcery point you spend, you can gain one of the following benefits of your choice, the effects of which last until the transformation ends:
You can see any invisible creature within 60 feet of you, provided it isn't behind total cover. Your eyes also turn black or become writhing sensory tendrils.

You gain a flying speed equal to your walking speed, and you can hover. As you fly, your skin glistens with mucus or shines with an otherworldly light.

You gain a swimming speed equal to twice your walking speed, and you can breathe underwater. Moreover, gills grow from your neck or fan out from behind your ears, your fingers become webbed, or you grow writhing cilia that extend through your clothing.

Your body, along with any equipment you are wearing or carrying, becomes slimy and pliable. You can move through any space as narrow as 1 inch without squeezing, and you can spend 5 feet of movement to escape from nonmagical restraints or being grappled.
",esprit aberrant,Révélation dans la chair,"Esprit aberrant de niveau 14
Vous pouvez libérer la vérité aberrante cachée en vous. En tant qu'action bonus, vous pouvez dépenser 1 ou plusieurs points de sorcellerie pour transformer votre corps par magie pendant 10 minutes. Pour chaque point de sorcellerie dépensé, vous pouvez obtenir l'un des avantages suivants de votre choix, dont les effets durent jusqu'à la fin de la transformation :
Vous pouvez voir toute créature invisible à moins de 18 mètres de vous, à condition qu'elle ne soit pas totalement à couvert. Vos yeux deviennent également noirs ou se transforment en vrilles sensorielles ondulantes.

Vous gagnez une vitesse de vol égale à votre vitesse de marche et vous pouvez planer. Lorsque vous volez, votre peau scintille de mucus ou brille d'une lumière surnaturelle.

Vous gagnez une vitesse de nage égale au double de votre vitesse de marche et vous pouvez respirer sous l'eau. De plus, des branchies poussent sur votre cou ou se déploient derrière vos oreilles, vos doigts deviennent palmés ou vous développez des cils ondulants qui s'étendent à travers vos vêtements.

Votre corps, ainsi que tout équipement que vous portez ou transportez, devient visqueux et malléable. Vous pouvez vous déplacer dans n'importe quel espace aussi étroit que 2,5 cm sans vous serrer, et vous pouvez effectuer 1,5 mètre de mouvement pour vous échapper des contraintes non magiques ou d'une saisie.",14.0
6,aberrant-mind,Warping Implosion,"18th-level Aberrant Mind feature
You can unleash your aberrant power as a space-warping anomaly. As an action, you can teleport to an unoccupied space you can see within 120 feet of you. Immediately after you disappear, each creature within 30 feet of the space you left must make a Strength saving throw. On a failed save, a creature takes 3d10 force damage and is pulled straight toward the space you left, ending in an unoccupied space as close to your former space as possible. On a successful save, the creature takes half as much damage and isn't pulled.Once you use this feature, you can't do so again until you finish a long rest, unless you spend 5 sorcery points to use it again.Source: Tasha's Cauldron of Everything",esprit aberrant,Implosion de déformation,"Esprit aberrant de niveau 18
Vous pouvez libérer votre pouvoir aberrant sous forme d'anomalie spatiale. Par une action, vous pouvez vous téléporter dans un espace inoccupé que vous pouvez voir à 36 mètres de vous. Immédiatement après votre disparition, chaque créature à 9 mètres de l'espace que vous avez quitté doit effectuer un jet de sauvegarde de Force. En cas d'échec, une créature subit 3d10 dégâts de force et est attirée directement vers l'espace que vous avez quitté, se terminant dans un espace inoccupé aussi proche que possible de votre ancien espace. En cas de réussite, la créature subit la moitié des dégâts et n'est pas attirée. Une fois que vous avez utilisé cette capacité, vous ne pouvez plus le faire avant d'avoir terminé un repos long, à moins que vous ne dépensiez 5 points de sorcellerie pour l'utiliser à nouveau. Source : Le chaudron de tout de Tasha",18.0
7,clockwork-soul,Clockwork Magic,"1st-level Clockwork Soul feature
You learn additional spells when you reach certain
levels in this class, as shown on the Clockwork Spells table. Each of these spells counts as a sorcerer spell for you, but it doesn't count against the number of sorcerer spells you know.Whenever you gain a sorcerer level, you can replace one spell you gained from this feature with another spell of the same level. The new spell must be an abjuration or a transmutation spell from the sorcerer, warlock, or wizard spell list.

Sorcerer Level
Spells


1st
Alarm, Protection From Evil and Good


3rd
Aid, Lesser Restoration


5th
Dispel Magic, Protection From Energy


7th
Freedom of Movement, Summon Construct


9th
Greater Restoration, Wall of Force

In addition, consult the Manifestations of Order table and choose or randomly determine a way your connection to order manifests while you are casting any of your sorcerer spells.",âme mécanique,Magie mécanique,"1er niveau de compétence Âme mécanique
Vous apprenez des sorts supplémentaires lorsque vous atteignez certains
niveaux dans cette classe, comme indiqué dans le tableau des sorts mécaniques. Chacun de ces sorts compte comme un sort d'ensorceleur pour vous, mais il n'est pas comptabilisé dans le nombre de sorts d'ensorceleur que vous connaissez. Chaque fois que vous gagnez un niveau d'ensorceleur, vous pouvez remplacer un sort que vous avez obtenu grâce à cette compétence par un autre sort du même niveau. Le nouveau sort doit être un sort d'abjuration ou de transmutation de la liste des sorts d'ensorceleur, de démoniste ou de magicien.

Niveau de sorcier
Sorts

1er
Alarme, Protection contre le mal et le bien

3e
Aide, Petite restauration

5e
Dissiper la magie, Protection contre l'énergie

7e
Liberté de mouvement, Invocation de construction

9e
Grande restauration, Mur de force

De plus, consultez le tableau des manifestations de l'ordre et choisissez ou déterminez aléatoirement une manière dont votre connexion à l'ordre se manifeste lorsque vous lancez l'un de vos sorts de sorcier.",1.0
8,clockwork-soul,Manifestations of Order,"

d6
Manifestation


1
Spectral cogwheels hover behind you.


2
The hands of a clock spin in your eyes.


3
Your skin glows with a brassy sheen.


4
Floating equations and geometric objects overlay your body.


5
Your spellcasting focus temporarily takes the form of a Tiny clockwork mechanism.


6
The ticking of gears or ringing of a clock can be heard by you and those affected by your magic.

",âme mécanique,Manifestations de l'Ordre,"d6
Manifestation

1
Des rouages ​​spectraux planent derrière vous.

2
Les aiguilles d'une horloge tournent dans vos yeux.

3
Votre peau brille d'un éclat cuivré.

4
Des équations flottantes et des objets géométriques recouvrent votre corps.

5
Votre concentration de sorts prend temporairement la forme d'un minuscule mécanisme d'horlogerie.

6
Le tic-tac des engrenages ou la sonnerie d'une horloge peuvent être entendus par vous et par ceux qui sont affectés par votre magie.",
9,clockwork-soul,Restore Balance,"1st-level Clockwork Soul feature
Your connection to the plane of absolute order allows you to equalize chaotic moments. When a creature you can see within 60 feet of you is about to roll a d20 with advantage or disadvantage, you can use your reaction to prevent the roll from being affected by advantage and disadvantage.You can use this feature a number of times equal to your proficiency bonus, and you regain all expended uses when you finish a long rest.",âme mécanique,Rétablir l'équilibre,"1er niveau de capacité Âme mécanique
Votre connexion au plan de l'ordre absolu vous permet d'équilibrer les moments chaotiques. Lorsqu'une créature que vous pouvez voir à 18 mètres ou moins de vous est sur le point de lancer un d20 avec avantage ou désavantage, vous pouvez utiliser votre réaction pour empêcher que le jet ne soit affecté par l'avantage ou le désavantage. Vous pouvez utiliser cette capacité un nombre de fois égal à votre bonus de maîtrise, et vous récupérez toutes les utilisations dépensées lorsque vous terminez un repos long.",1.0
