,subclass,ability,content,subclass_FR,contability_FR,content_FR,levels
0,celestial,Expanded Spell List,The Celestial lets you choose from an expanded list of spells when you learn a warlock spell. The following spells are added to the warlock spell list for you.,céleste,Liste de sorts étendue,Le Céleste vous permet de choisir parmi une liste étendue de sorts lorsque vous apprenez un sort de sorcier. Les sorts suivants sont ajoutés à la liste des sorts de sorcier pour vous.,
1,celestial,Celestial Expanded Spells,"

Spell Level
Spells


1st
Cure Wounds, Guiding Bolt


2nd
Flaming Sphere, Lesser Restoration


3rd
Daylight, Revivify


4th
Guardian of Faith, Wall of Fire


5th
Flame Strike, Greater Restoration

",céleste,Sorts célestes étendus,"Niveau de sort
Sorts

1er
Soin des blessures, Trait de guidage

2e
Sphère enflammée, Restauration mineure

3e
Lumière du jour, Revivification

4e
Gardien de la foi, Mur de feu

5e
Frappe de flammes, Restauration majeure",1.0
2,celestial,Bonus Cantrips,"At 1st level, you learn the Light and Sacred Flame cantrips. They count as warlock cantrips for you, but they don’t count against your number of cantrips known.",céleste,Tours bonus,"Au niveau 1, vous apprenez les sorts de Lumière et de Flamme sacrée. Ils comptent comme des sorts de sorcier pour vous, mais ils ne comptent pas dans le nombre de sorts de sorciers connus.",1.0
3,celestial,Healing Light,"At 1st level, you gain the ability to channel celestial energy to heal wounds. You have a pool of d6s that you spend to fuel this healing. The number of dice in the pool equals 1 + your warlock level.As a bonus action, you can heal one creature you can see within 60 feet of you, spending dice from the pool. The maximum number of dice you can spend at once equals your Charisma modifier (minimum of one die). Roll the dice you spend, add them together, and restore a number of hit points equal to the total.Your pool regains all expended dice when you finish a long rest.",céleste,Lumière de guérison,"Au niveau 1, vous obtenez la capacité de canaliser l'énergie céleste pour soigner les blessures. Vous disposez d'une réserve de d6 que vous dépensez pour alimenter ces soins. Le nombre de dés dans la réserve est égal à 1 + votre niveau de sorcier. En tant qu'action bonus, vous pouvez soigner une créature que vous pouvez voir à 18 mètres ou moins de vous, en dépensant des dés de la réserve. Le nombre maximum de dés que vous pouvez dépenser en une fois est égal à votre modificateur de Charisme (minimum d'un dé). Lancez les dés que vous dépensez, additionnez-les et restaurez un nombre de points de vie égal au total. Votre réserve récupère tous les dés dépensés lorsque vous terminez un repos long.",1.0
4,celestial,Radiant Soul,"Starting at 6th level, your link to the Celestial allows you to serve as a conduit for radiant energy. You have resistance to radiant damage, and when you cast a spell that deals radiant or fire damage, you add your Charisma modifier to one radiant or fire damage roll of that spell against one of its targets.",céleste,Âme rayonnante,"À partir du niveau 6, votre lien avec le Céleste vous permet de servir de canal pour l'énergie radiante. Vous bénéficiez d'une résistance aux dégâts radiants et lorsque vous lancez un sort qui inflige des dégâts radiants ou de feu, vous ajoutez votre modificateur de Charisme à un jet de dégâts radiants ou de feu de ce sort contre l'une de ses cibles.",6.0
5,celestial,Celestial Resistance,"Starting at 10th level, you gain temporary hit points whenever you finish a short or long rest. These temporary hit points equal your warlock level + your Charisma modifier. Additionally, choose up to five creatures you can see at the end of the rest. Those creatures each gain temporary hit points equal to half your warlock level + your Charisma modifier.",céleste,Résistance céleste,"À partir du niveau 10, vous gagnez des points de vie temporaires à chaque fois que vous terminez un repos court ou long. Ces points de vie temporaires sont égaux à votre niveau de sorcier + votre modificateur de Charisme. De plus, vous pouvez choisir jusqu'à cinq créatures que vous pouvez voir à la fin du repos. Ces créatures gagnent chacune des points de vie temporaires égaux à la moitié de votre niveau de sorcier + votre modificateur de Charisme.",10.0
6,celestial,Searing Vengeance,"Starting at 14th level, the radiant energy you channel allows you to resist death. When you have to make a death saving throw at the start of your turn, you can instead spring back to your feet with a burst of radiant energy. You regain hit points equal to half your hit point maximum, and then you stand up if you so choose. Each creature of your choice that is within 30 feet of you takes radiant damage equal to 2d8 + your Charisma modifier, and is blinded until the end of the current turn.Once you use this feature, you can’t use it again until you finish a long rest.Source: Xanathar's Guide to Everything",céleste,Vengeance fulgurante,"À partir du niveau 14, l'énergie radiante que vous canalisez vous permet de résister à la mort. Lorsque vous devez effectuer un jet de sauvegarde contre la mort au début de votre tour, vous pouvez à la place vous relever avec une explosion d'énergie radiante. Vous récupérez des points de vie égaux à la moitié de votre maximum de points de vie, puis vous vous relevez si vous le souhaitez. Chaque créature de votre choix qui se trouve à 9 mètres ou moins de vous subit des dégâts radiants égaux à 2d8 + votre modificateur de Charisme, et est aveuglée jusqu'à la fin du tour en cours. Une fois que vous avez utilisé cette capacité, vous ne pouvez plus l'utiliser avant d'avoir terminé un repos long. Source : Xanathar's Guide to Everything",14.0
7,fathomless,Expanded Spell List,"The Lurker in the Deep lets you choose from an expanded list of spells when you learn a warlock spell. The following spells are added to the warlock spell list for you.

Spell Level
Spells


1st
Create or Destroy Water, Thunderwave


2nd
Gust of Wind, Silence


3rd
Lightning Bolt, Sleet Storm


4th
Control Water, Summon Elemental (water only)


5th
Bigby's Hand (appears as a tentacle), Cone of Cold

",insondable,Liste de sorts étendue,"Le Rôdeur des profondeurs vous permet de choisir parmi une liste étendue de sorts lorsque vous apprenez un sort de sorcier. Les sorts suivants sont ajoutés à la liste des sorts de sorcier pour vous.

Niveau de sort
Sorts

1er
Créer ou détruire de l'eau, Onde de tonnerre

2e
Bourrasque de vent, Silence

3e
Éclair, Tempête de grésil

4e
Contrôle de l'eau, Invocation d'élémentaire (eau uniquement)

5e
Main de Bigby (apparaît comme un tentacule), Cône de froid",1.0
8,fathomless,Tentacle of the Deeps,"1st-level Fathomless feature
You can magically summon a spectral tentacle that strikes at your foes. As a bonus action, you create a 10-foot-long tentacle at a point you can see within 60 feet of you. The tentacle lasts for 1 minute or until you use this feature to create another tentacle.When you create the tentacle, you can make a melee spell attack against one creature within 10 feet of it. On a hit, the target takes 1d8 cold damage, and its speed is reduced by 10 feet until the start of your next turn. When you reach 10th level in this class, the damage increases to 2d8.As a bonus action on your turn, you can move the tentacle up to 30 feet and repeat the attack.You can summon the tentacle a number of times equal to your proficiency bonus, and you regain all expended uses when you finish a long rest.",insondable,Tentacule des profondeurs,"1er niveau Capacité d'insondabilité
Vous pouvez invoquer par magie un tentacule spectral qui frappe vos ennemis. Par une action bonus, vous créez un tentacule de 3 mètres de long à un endroit que vous pouvez voir à 18 mètres de vous. Le tentacule dure 1 minute ou jusqu'à ce que vous utilisiez cette capacité pour créer un autre tentacule.Lorsque vous créez le tentacule, vous pouvez effectuer une attaque de sort au corps à corps contre une créature à 3 mètres de lui. En cas de succès, la cible subit 1d8 dégâts de froid et sa vitesse est réduite de 3 mètres jusqu'au début de votre prochain tour. Lorsque vous atteignez le niveau 10 dans cette classe, les dégâts augmentent à 2d8.Par une action bonus lors de votre tour, vous pouvez déplacer le tentacule jusqu'à 9 mètres et répéter l'attaque.Vous pouvez invoquer le tentacule un nombre de fois égal à votre bonus de maîtrise et vous récupérez toutes les utilisations dépensées lorsque vous terminez un repos long.",1.0
9,fathomless,Gift of the Sea,"1st-level Fathomless feature
You gain a swimming speed of 40 feet, and you can breathe underwater.",insondable,Don de la mer,"Fonctionnalité Insondable de niveau 1
Vous obtenez une vitesse de nage de 40 pieds et vous pouvez respirer sous l'eau.",1.0
