,subclass,ability,content,subclass_FR,contability_FR,content_FR,levels
0,abjuration,Abjuration Savant,"Beginning when you select this school at 2nd level, the gold and time you must spend to copy a abjuration spell into your spellbook is halved.",abjuration,Abjuration Savant,"À partir du moment où vous sélectionnez cette école au niveau 2, l'or et le temps que vous devez dépenser pour copier un sort d'abjuration dans votre grimoire sont réduits de moitié.",2
1,abjuration,Arcane Ward,"Starting at 2nd level, you can weave magic around yourself for protection. When you cast an abjuration spell of 1st level or higher, you can simultaneously use a strand of the spell's magic to create a magical ward on yourself that lasts until you finish a long rest. The ward has hit points equal to twice your wizard level + your Intelligence modifier. Whenever you take damage, the ward takes the damage instead. If this damage reduces the ward to 0 hit points, you take any remaining damage.While the ward has 0 hit points, it can't absorb damage, but its magic remains. Whenever you cast an abjuration spell of 1st level or higher, the ward regains a number of hit points equal to twice the level of the spell.Once you create the ward, you can't create it again until you finish a long rest.",abjuration,Protection arcanique,"À partir du niveau 2, vous pouvez tisser de la magie autour de vous pour vous protéger. Lorsque vous lancez un sort d'abjuration de niveau 1 ou supérieur, vous pouvez utiliser simultanément un brin de la magie du sort pour créer une protection magique sur vous-même qui dure jusqu'à ce que vous ayez terminé un repos long. La protection a des points de vie égaux à deux fois votre niveau de sorcier + votre modificateur d'Intelligence. Chaque fois que vous subissez des dégâts, la protection subit les dégâts à la place. Si ces dégâts réduisent la protection à 0 point de vie, vous subissez les dégâts restants. Tant que la protection a 0 point de vie, elle ne peut pas absorber de dégâts, mais sa magie reste. Chaque fois que vous lancez un sort d'abjuration de niveau 1 ou supérieur, la protection récupère un nombre de points de vie égal à deux fois le niveau du sort. Une fois que vous avez créé la protection, vous ne pouvez pas la recréer avant d'avoir terminé un repos long.",2
2,abjuration,Projected Ward,"Starting at 6th level, when a creature that you can see within 30 feet of you takes damage, you can use your reaction to cause your Arcane Ward to absorb that damage. If this damage reduces the ward to 0 hit points, the warded creature takes any remaining damage.",abjuration,Quartier projeté,"À partir du niveau 6, lorsqu'une créature que vous pouvez voir à moins de 9 mètres de vous subit des dégâts, vous pouvez utiliser votre réaction pour que votre Protection arcanique absorbe ces dégâts. Si ces dégâts réduisent la Protection à 0 point de vie, la créature protégée subit les dégâts restants.",6
3,abjuration,Improved Abjuration,"Beginning at 10th level, when you cast an abjuration spell that requires you to make an ability check as a part of casting that spell (as in Counterspell and Dispel Magic), you add your proficiency bonus to that ability check.",abjuration,Abjuration améliorée,"À partir du niveau 10, lorsque vous lancez un sort d'abjuration qui nécessite de faire un test de caractéristique dans le cadre de l'incantation de ce sort (comme dans Contresort et Dissipation de la magie), vous ajoutez votre bonus de maîtrise à ce test de caractéristique.",10
4,abjuration,Spell Resistance,"Starting at 14th level, you have advantage on saving throws against spells.Furthermore, you have resistance against the damage of spells.Source: Player's Handbook",abjuration,Résistance aux sorts,"À partir du niveau 14, vous bénéficiez d'un avantage sur les jets de sauvegarde contre les sorts. De plus, vous bénéficiez d'une résistance contre les dégâts des sorts. Source : Manuel du joueur",14
5,bladesinging,Training in War and Song,"2nd-level Bladesinging feature
You gain proficiency with light armor, and you gain proficiency with one type of one-handed melee weapon of your choice.You also gain proficiency in the Performance skill if you don't already have it.",chant de lame,Formation à la guerre et au chant,"Fonctionnalité Chant de lame de niveau 2
Vous obtenez la maîtrise des armures légères et vous obtenez la maîtrise d'un type d'arme de mêlée à une main de votre choix. Vous obtenez également la maîtrise de la compétence Performance si vous ne la possédez pas déjà.",2
6,bladesinging,Bladesong,"2nd-level Bladesinging feature
You can invoke an elven magic called the Bladesong, provided that you aren't wearing medium or heavy armor or using a shield. It graces you with supernatural speed, agility, and focus.You can use a bonus action to start the Bladesong, which lasts for 1 minute. It ends early if you are incapacitated, if you don medium or heavy armor or a shield, or if you use two hands to make an attack with a weapon. You can also dismiss the Bladesong at any time (no action required).While your Bladesong is active, you gain the following benefits:
You gain a bonus to your AC equal to your Intelligence modifier (minimum of +1).

Your walking speed increases by 10 feet.

You have advantage on Dexterity (Acrobatics) checks.

You gain a bonus to any Constitution saving throw you make to maintain your concentration on a spell. The bonus equals your Intelligence modifier (minimum of +1).
You can use this feature a number of times equal to your proficiency bonus, and you regain all expended uses of it when you finish a long rest.",chant de lame,Chant de lame,"2e niveau de la fonctionnalité Chant de la lame
Vous pouvez invoquer une magie elfique appelée Chant de la lame, à condition que vous ne portiez pas d'armure moyenne ou lourde ou que vous n'utilisiez pas de bouclier. Elle vous confère une vitesse, une agilité et une concentration surnaturelles.Vous pouvez utiliser une action bonus pour lancer le Chant de la lame, qui dure 1 minute. Il se termine prématurément si vous êtes dans l'incapacité d'agir, si vous portez une armure moyenne ou lourde ou un bouclier, ou si vous utilisez vos deux mains pour effectuer une attaque avec une arme. Vous pouvez également interrompre le Chant de la lame à tout moment (aucune action requise).Lorsque votre Chant de la lame est actif, vous obtenez les avantages suivants :
Vous obtenez un bonus à votre CA égal à votre modificateur d'Intelligence (minimum de +1).

Votre vitesse de marche augmente de 3 mètres.

Vous avez un avantage sur les tests de Dextérité (Acrobaties).

Vous obtenez un bonus à tout jet de sauvegarde de Constitution que vous effectuez pour maintenir votre concentration sur un sort. Le bonus est égal à votre modificateur d'Intelligence (minimum de +1).
Vous pouvez utiliser cette fonctionnalité un nombre de fois égal à votre bonus de maîtrise, et vous récupérez toutes les utilisations dépensées lorsque vous terminez un repos long.",2
7,bladesinging,Extra Attack,"6th-level Blade singing feature
You can attack twice, instead of once, whenever you take the Attack action on your turn. Moreover, you can cast one of your can trips in place of one of those attacks.",chant de lame,Attaque supplémentaire,"Fonctionnalité Chant de lame de niveau 6
Vous pouvez attaquer deux fois, au lieu d'une, à chaque fois que vous effectuez l'action Attaquer pendant votre tour. De plus, vous pouvez lancer l'un de vos coups de canette à la place de l'une de ces attaques.",6
8,bladesinging,Song of Defense,"10th-level Blade singing feature
You can direct your magic to absorb damage while your Bladesong is active. When you take damage, you can use your reaction to expend one spell slot and reduce that damage to you by an amount equal to five times the spell slot's level.",chant de lame,Chant de défense,"Fonctionnalité Chant de lame de niveau 10
Vous pouvez utiliser votre magie pour absorber les dégâts tant que votre Chant de lame est actif. Lorsque vous subissez des dégâts, vous pouvez utiliser votre réaction pour dépenser un emplacement de sort et réduire ces dégâts d'un montant égal à cinq fois le niveau de l'emplacement de sort.",10
9,bladesinging,Song of Victory,"14th-level Bladesinging feature
You can add your Intelligence modifier (minimum of + 1) to the damage of your melee weapon attacks while your Bladesong is active.Source: Sword Coast Adventurer's Guide, Tasha's Cauldron of Everything",chant de lame,Chant de la victoire,"Fonctionnalité Chant de lame de niveau 14
Vous pouvez ajouter votre modificateur d'intelligence (minimum de + 1) aux dégâts de vos attaques d'armes de mêlée pendant que votre Chant de lame est actif.Source : Guide de l'aventurier de la Côte des Épées, Le chaudron de tout de Tasha",14
